year,value,source,methodology_flag,provisional_flag
1970,48.5999984741211,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
1980,61.0999984741211,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
1991,70.9646606445312,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
1997,81.1089739213142,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2001,80.4473876953125,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2003,89.4004821777344,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
2022,89.0144271850586,"World Bank WDI [SE.PRM.CUAT.FE.ZS], lastupdated 2026-04-08",,
