year,value,source,methodology_flag,provisional_flag
1997,34.2547668880502,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2001,35.9376907348633,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2003,43.9061813354492,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
2022,58.5534400939941,"World Bank WDI [SE.SEC.CUAT.UP.FE.ZS], lastupdated 2026-04-08",,
