country,term,perturbation,d_married_2024,d_union_total_2024,ratio_married_over_union,baseline_married,baseline_union
CRI,kappa,0.1,0.009203830450507072,0.0007946100968373448,11.582825950915495,0.17260867295003868,0.40181210609052215
CRI,phi,0.005,-0.0032433906214525965,-0.010061826555168046,0.32234610720721446,0.17260867295003868,0.40181210609052215
COL,kappa,0.1,0.0121360950408224,-0.00011872037325583173,102.22419882954888,0.11794853152202896,0.5618601715746369
COL,phi,0.005,-0.0007092202136151152,-0.015102707858564934,0.04695980484141508,0.11794853152202896,0.5618601715746369
