year,pi
2010,0.9998405284881958
2011,0.9996571666941674
2012,0.9992639866012041
2013,0.9984245280714332
2014,0.9966486480030622
2015,0.9929637710848486
2016,0.9856157557921005
2017,0.9720592227659132
2018,0.9502951277654716
2019,0.9221055360827228
2020,0.8942379156052189
2021,0.8731540661198947
2022,0.860206539130601
2023,0.8532470530889897
2024,0.8497723291395737
