year,single,cohabiting,married
2010,0.4668075,0.20374624999999996,0.32944625
2011,0.4699825000000001,0.20286625,0.32715125000000006
2012,0.47470875,0.201335,0.32395625
2013,0.4799149999999999,0.19968499999999997,0.3204
2014,0.4860050000000001,0.19824624999999998,0.31574874999999997
2015,0.49262125000000007,0.19667250000000003,0.3107062500000001
2016,0.49928749999999994,0.196065,0.30464749999999996
2017,0.50633625,0.1955875,0.29807625000000004
2018,0.51373375,0.19581125,0.2904550000000001
2019,0.52179625,0.19608124999999998,0.2821225
2020,0.5298425000000001,0.19663500000000003,0.27352249999999995
2021,0.5384674999999999,0.19732000000000002,0.2642125
2022,0.54669125,0.19838625000000001,0.25492250000000005
2023,0.5545675,0.2001875,0.245245
2024,0.56332,0.2014275,0.2352525
