country,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,kappa_floor,kappa_mid,kappa_steep,form_tilt,period_depth,period_mid,period_steep
CRI,1,0.151699,0.082956,0.359316,0.046044,0.082042,0.019929,0.374157,1994.511993,0.130218,0.014783,0.000000,2018.206847,0.783153
CRI,1,0.097202,0.076688,0.326330,0.025827,0.079119,0.021754,0.345224,1993.384064,0.136580,0.013062,0.000000,2020.010286,1.048762
CRI,1,0.581682,0.117319,0.377333,0.038336,0.076689,0.010630,0.380710,1994.280408,0.129587,0.013337,0.000000,2018.712022,0.855803
CRI,1,0.184915,0.054834,0.331381,0.044273,0.088324,0.025036,0.360626,1994.587351,0.132191,0.016215,0.000000,2018.446149,0.805188
CRI,1,0.340806,0.105788,0.333330,0.039418,0.072941,0.023141,0.342521,1992.768204,0.137994,0.011010,0.000000,2014.127657,0.868551
CRI,1,0.169931,0.058251,0.349987,0.043579,0.089502,0.018266,0.376484,1995.141571,0.128872,0.016980,0.000000,2020.063562,0.802181
CRI,1,0.263770,0.097392,0.325298,0.039257,0.073607,0.022393,0.337325,1992.655031,0.139049,0.011069,0.000000,2020.911452,0.531448
CRI,1,0.113936,0.083027,0.334297,0.040628,0.078440,0.021099,0.350440,1993.494461,0.135549,0.013006,0.000000,2019.792506,0.653930
CRI,1,0.195329,0.051466,0.333874,0.036838,0.090489,0.016286,0.365221,1994.884767,0.131000,0.016944,0.000000,2019.256491,0.786598
CRI,1,0.041459,0.068070,0.300852,0.040504,0.065489,0.019215,0.324388,1992.612766,0.164173,0.028495,0.000000,2019.255475,0.816802
CRI,1,0.062491,0.067786,0.265746,0.039895,0.050788,0.019050,0.290563,1990.921144,0.199993,0.037205,0.000000,2019.704250,0.845835
CRI,1,0.211744,0.098084,0.337366,0.046523,0.071179,0.023502,0.348483,1993.154180,0.142906,0.017552,0.000000,2018.318684,0.795333
CRI,1,0.112736,0.059769,0.334745,0.039083,0.085440,0.017904,0.361002,1994.462582,0.133885,0.017096,0.000000,2019.026661,0.788775
CRI,1,0.182403,0.092564,0.340446,0.037960,0.072676,0.014287,0.353066,1993.446072,0.141923,0.018408,0.000000,2019.228953,0.774221
CRI,1,0.096036,0.080713,0.338169,0.039462,0.076434,0.016549,0.354949,1993.735883,0.139428,0.017867,0.000000,2019.036507,0.781882
CRI,1,0.177839,0.091566,0.320176,0.037938,0.069627,0.019626,0.334245,1992.606763,0.147474,0.017808,0.000000,2017.339166,0.773821
CRI,1,0.108106,0.064894,0.342419,0.042107,0.084290,0.018599,0.365703,1994.530025,0.133301,0.017188,0.000000,2019.421837,0.795023
CRI,1,0.066669,0.061322,0.308690,0.035298,0.076830,0.017773,0.335106,1993.284161,0.146526,0.020278,0.000000,2019.477567,0.794674
CRI,1,0.157434,0.051711,0.482779,0.035011,0.072683,0.019955,0.292066,1991.486110,0.159361,0.019155,0.000000,2019.685327,0.806104
CRI,1,0.073263,0.079985,0.278369,0.042059,0.081863,0.018285,0.378380,1994.739210,0.131391,0.017263,0.000000,2018.584568,0.782825
CRI,1,0.086765,0.078458,0.303508,0.049265,0.067144,0.019323,0.307568,1991.556760,0.088596,0.018307,0.000000,2020.774070,0.980260
CRI,1,0.124710,0.096771,0.323024,0.026174,0.086672,0.020251,0.346172,1994.591619,0.091635,0.026086,0.000000,2019.166003,0.707012
CRI,1,0.062241,0.062599,0.301435,0.033073,0.066525,0.020034,0.503092,1989.754110,0.130516,0.020046,0.000000,2020.262439,0.833110
CRI,1,0.125606,0.052497,0.330198,0.056395,0.066014,0.018014,0.389505,1991.272476,0.179291,0.010192,0.000000,2019.581364,0.928579
