year,tfr_overlay_mean,tfr_overlay_sd,tfr_observed
2008,NaN,0.0,
2009,1.2302432701559995,0.017742088645997873,
2010,1.2088548561268444,0.037358278860348405,
2011,1.2274200883110393,0.01819749171991166,
2012,1.2248866530735922,0.02528483092071913,
2013,1.2125175131017274,0.03392903430546352,
2014,1.193282363803128,0.026956008330539002,
2015,1.1839650461345324,0.01709490606761539,1.7
2016,1.1789001121291338,0.03246641872106771,1.7
2017,1.155088370701032,0.023061244199344074,1.7
2018,1.1589409104215034,0.02969983132110027,1.7
2019,1.130734382194011,0.024935399808535933,1.6
2020,1.1287290622195203,0.040006049837780076,1.5
2021,1.096852319548709,0.02358479529392571,1.5
2022,1.084274384733529,0.020574129065603384,1.4
2023,1.0858265743670428,0.030534989978117377,1.2
2024,1.0622299527293564,0.024498772749237462,1.1
