birth_year,kappa,phi
1959,0.9978765913734706,1.664836723006829
1960,0.9974229351275719,1.6325156483856083
1961,0.9968727955094846,1.600822053835096
1962,0.9962058592461005,1.5697437574818938
1963,0.9953976337407391,1.539268813951014
1964,0.9944186330095162,1.5093855097745088
1965,0.993233426705463,1.4800823588892367
1966,0.9917995397075869,1.4513480982220328
1967,0.9900661942677081,1.4231716833605923
1968,0.9879728950200736,1.395542284308396
1969,0.9854478709981594,1.3684492813220512
1970,0.9824064104146988,1.3418822608294447
1971,0.9787491560993812,1.3158310114271434
1972,0.9743604752618085,1.2902855199554977
1973,0.9691070796751121,1.2652359676499463
1974,0.9628371534687235,1.2406727263670358
1975,0.9553803448294186,1.2165863548837117
1976,0.9465490891136316,1.1929675952684518
1977,0.9361418392989188,1.169807369322852
1978,0.9239488571854028,1.1470967750922951
1979,0.9097612201597174,1.1248270834443606
1980,0.8933835613496165,1.1029897347136608
1981,0.8746507140644987,1.0815763354118155
1982,0.8534478152015712,1.0605786550012972
1983,0.8297325279769011,1.0399886227319102
1984,0.8035569636693183,1.0197983245386855
1985,0.7750858490767303,1.0
1986,0.7446068740331981,0.9805860393547504
1987,0.712529385514703,0.9615489805774361
1988,0.6793689645420045,0.9428815065100258
1989,0.6457178739652267,0.9245764420495065
1990,0.6122043714528773,0.9066267513900325
1991,0.5794465427766823,0.889025535318616
1992,0.548007699536344,0.8717660285633183
1993,0.5183599839106912,0.8548415971929245
1994,0.4908607830524339,0.8382457360670987
1995,0.4657436220291083,0.8219720663360438
1996,0.4431223451883026,0.8060143329887013
1997,0.42300537894721507,0.7903664024485515
1998,0.405316013139571,0.7750222602160879
1999,0.38991482254463405,0.7599760085570603
2000,0.3766211981329949,0.7452218642355997
2001,0.3652320499128948,0.7307541562913502
2002,0.35553676252248584,0.7165673238597573
2003,0.3473282620615021,0.7026559140346722
2004,0.340410546443374,0.6890145797724511
2005,0.3346032783268194,0.6756380778367456
2006,0.32974410782125246,0.6625212667831909
2007,0.3256893509038272,0.6496591049832211
2008,0.3223135540361916,0.6370466486862487
2009,0.3195083632551319,0.6246790501194658
