year,single,cohabiting,married
2008,0.41628624999999997,0.36078249999999995,0.22293125000000003
2009,0.40861749999999997,0.36849375,0.22288875
2010,0.40498750000000006,0.37311625000000004,0.22189625
2011,0.4031725,0.37605000000000005,0.2207775
2012,0.4042125,0.3771175,0.21867
2013,0.40535125,0.37817625000000005,0.2164725
2014,0.4083625,0.37811125,0.21352624999999997
2015,0.41104624999999995,0.37896375,0.20999
2016,0.41456874999999993,0.37935499999999994,0.20607625
2017,0.41864124999999996,0.37960750000000004,0.20175125
2018,0.42296375,0.37961875,0.1974175
2019,0.4274562500000001,0.3801975,0.19234625
2020,0.432355,0.38089500000000004,0.18675
2021,0.43781875000000003,0.38190625,0.18027499999999996
2022,0.44356124999999996,0.3830675,0.17337125000000003
2023,0.44882750000000005,0.38492625,0.16624624999999998
2024,0.45410750000000005,0.3863725,0.15952
