birth_year,kappa,phi
1959,0.9955299269984541,1.6112196375936088
1960,0.9946912501867624,1.58192997822503
1961,0.9936966698497356,1.553172762805067
1962,0.9925177972393662,1.5249383122673008
1963,0.9911213155775278,1.497217123496841
1964,0.989468222831679,1.46999986613178
1965,0.9875129986859883,1.4432773794227918
1966,0.985202706101399,1.4170406691498185
1967,0.9824760480648224,1.391280904594808
1968,0.9792624144660173,1.365989415569481
1969,0.9754809735147735,1.3411576894971322
1970,0.9710398876562504,1.316777368547476
1971,0.9658357661657136,1.2928402468235805
1972,0.9597535053510002,1.2693382675999367
1973,0.9526667109906236,1.2462635206107362
1974,0.944438942398734,1.2236082393874441
1975,0.9349260560351046,1.2013647986447713
1976,0.9239799470736415,1.179525711714165
1977,0.9114539728899288,1.1580836280239575
1978,0.8972102715938456,1.1370313306253177
1979,0.8811290384816923,1.1163617337631815
1980,0.8631195753227909,1.0960678804913366
1981,0.8431325784793403,1.076142940330864
1982,0.8211727068472979,1.056580206971142
1983,0.7973100342436719,1.0373730960126468
1984,0.7716886508867273,1.0185151427507824
1985,0.7445305713197516,1.0
1986,0.7161333589600054,0.9818214359574693
1987,0.686860553513664,0.9639733321055869
1988,0.6571250318376975,0.9464496811526137
1989,0.627366651064693,0.9292445850107481
1990,0.5980266174624385,0.9123522528109553
1991,0.5695216889114162,0.8957669989538841
1992,0.5422213533218796,0.8794832411962153
1993,0.5164305191813989,0.8634954987717974
1994,0.49237919073651615,0.8477983905469373
1995,0.4702193799948966,0.8323866332092253
1996,0.4500284343072962,0.8172550394892848
1997,0.4318172395000525,0.8023985164148479
1998,0.41554146349582566,0.7878120635965689
1999,0.40111408092131545,0.7734907715450003
2000,0.38841774178432853,0.7594298200181631
2001,0.3773159794014889,0.7456244763991553
2002,0.36766268266809976,0.7320700941032547
2003,0.3593096162387708,0.7187621110139772
2004,0.35211203073689684,0.705696047947565
2005,0.345932564718072,0.6928675071453894
2006,0.3406437180612803,0.6802721707937583
2007,0.33612919565938354,0.6679057995706326
2008,0.33228440250896224,0.65576423121876
2009,0.3290163339972358,0.6438433791447489
