year,pi
2008,0.9999993643857902
2009,0.999998370846544
2010,0.999995824324246
2011,0.9999892975734271
2012,0.9999725707489061
2013,0.999929711436915
2014,0.999819947492548
2015,0.999539198493825
2016,0.9988234572638806
2017,0.9970138635367327
2018,0.9925333329265982
2019,0.9819908855256788
2020,0.9599028098172034
2021,0.92310972138046
2022,0.8802334317877668
2023,0.8469323382453392
2024,0.8283069713071302
