iso,pais,b_2024,pb_2024,r_H,g_H,rg_H,pbs_H,brecha_H,r_P,g_P,rg_P,pbs_P,brecha_P,esa,int_2024
PAN,Panamá,40.21,-4.469,7.205751396364754,5.41717508509949,1.7885763112652633,0.6822289955874734,5.1512289955874735,7.55790138353099,5.822845785124464,1.7350555984065261,0.6592771635870476,5.128277163587048,2023,2.848
BRA,Brasil,61.481,-0.335,12.165295877584652,7.349322983565498,4.815972894019154,2.7581993185231477,3.0931993185231477,10.052240836050355,5.8440153735808575,4.208225462469498,2.44440754392115,2.77940754392115,2023,6.291
MEX,México,51.382,0.199,9.969105915358023,6.458312678507916,3.510793236850107,1.6944809057851067,1.4954809057851066,9.798586422007958,5.614745117764941,4.183841304243017,2.0354556899693255,1.8364556899693254,2024,5.92
CHL,Chile,25.767,-1.977,5.3151898032759375,7.733848078441152,-2.418658275165215,-0.5784771349743831,1.398522865025617,3.8694516619030916,5.246976711140894,-1.3775250492378022,-0.3372513781666962,1.639748621833304,2024,0.7619999999999998
CRI,Costa Rica,58.946,1.06,7.965700760883119,5.78019875848339,2.185502002399729,1.2178706652611837,0.15787066526118365,7.42346279715641,6.750914069471259,0.6725487276851512,0.37136972219581554,-0.6886302778041845,2023,4.843
COL,Colombia,53.175,-0.802,6.731340530437591,8.376153441402767,-1.6448129109651761,-0.8070311019837314,-0.005031101983731356,7.300584879643035,6.090309077564804,1.2102758020782307,0.6066191750695873,1.4086191750695873,2024,3.9259999999999997
