"pais","iso3","anio","indicador","codigo_indicador","tipo","modelo","valor","unidad","cobertura_institucional","fuente","nota"
"Chile","CHL",2004,"Balance primario","GGXONLB_NGDP","Observado",NA,2.549,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2005,"Balance primario","GGXONLB_NGDP","Observado",NA,5.006,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2006,"Balance primario","GGXONLB_NGDP","Observado",NA,7.681,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2007,"Balance primario","GGXONLB_NGDP","Observado",NA,7.77,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2008,"Balance primario","GGXONLB_NGDP","Observado",NA,3.573,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2009,"Balance primario","GGXONLB_NGDP","Observado",NA,-4.459,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2010,"Balance primario","GGXONLB_NGDP","Observado",NA,-0.312,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2011,"Balance primario","GGXONLB_NGDP","Observado",NA,1.524,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2012,"Balance primario","GGXONLB_NGDP","Observado",NA,0.792,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2013,"Balance primario","GGXONLB_NGDP","Observado",NA,-0.389,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2014,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.352,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2015,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.871,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2016,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.377,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2017,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.267,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2018,"Balance primario","GGXONLB_NGDP","Observado",NA,-1.112,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Chile","CHL",2019,"Balance primario","GGXONLB_NGDP","Observado",NA,-2.38,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
