pais,RD_2025,RD_2050,factor,pen_anio,pen,sal_anio,sal,d_pen,d_sal_05,d_sal_10,brecha_H,brecha_P,frac_min_H,frac_max_H
Brasil,16.6062,35.8081,2.1563090893762573,2020.0,8.8274,2020.0,2.675,10.207202855559975,1.5465634070407441,3.0931268140814883,3.0931993185231477,2.77940754392115,3.7998735458834165,4.299861825907723
Chile,21.1865,43.1187,2.035196941448564,2020.0,4.1679,2020.0,6.0301,4.31459733226347,3.1211705383144928,6.2423410766289855,1.398522865025617,1.639748621833304,5.316872577869337,7.5486348295771935
Colombia,14.6119,31.7336,2.171764110074665,2019.0,3.747,2019.0,3.2413,4.390600120449769,1.8990195049925056,3.798039009985011,-0.005031101983731356,1.4086191750695873,-1250.147511575094,-1627.6034866543514
Costa Rica,18.4973,40.7016,2.2004076270590844,2020.0,3.064,2020.0,0.6902,3.678048969309035,0.4142606720980901,0.8285213441961802,0.15787066526118365,-0.6886302778041845,25.92191294460402,28.54596391324174
México,12.6454,25.8608,2.045075679693802,2020.0,3.0101,2020.0,1.2408,3.145782303446313,0.6483649516820347,1.2967299033640693,1.4954809057851066,1.8364556899693254,2.5370750241284243,2.970624492512745
Panamá,14.6726,29.3629,2.0012063301664327,2017.0,0.501,2017.0,1.7189,0.5016043714133828,0.8604867804615406,1.7209735609230812,5.1512289955874735,5.128277163587048,0.26442061749568624,0.4314655656427461
