,value
cpv2020_65plus_mar2020_prorated,10344330.0
conapo_65plus_mid2020,9860625.0
conapo_65plus_mid2025,11698499.0
conapo_65plus_mid2026,12201321.0
cpv_unspecified_age,273386.0
cohort_deaths_to_65plus_2020_2025,3247894.0
conapo_deaths_2020,1194524.0
