CVE_ENT,NOM_ENT,ESTIMADOR,POBTOT,POBFEM,POBMAS,POB0_14,POB15_64,POB65_MAS,P_15A49_F,MEDIANA_POBTOT,INDICE_ENV,RAZON_DEP_TOT,RAZON_DEP_INF,RAZON_DEP_VEJ,PROM_HNV,TGF,PCN_P12YM_SOLT,PCN_P12YM_SOLT_F,PCN_P12YM_CUL,PCN_P12YM_CUL_F,PCN_P12YM_SEPA,PCN_P12YM_SEPA_F,PCN_PRESEUA20
08,Chihuahua,Coeficiente de variación,2.29,2.33,2.3,2.47,2.46,2.69,2.51,0.74,3.15,1.19,1.33,3.08,0.80,3.86,0.72,0.91,0.59,0.67,1.71,1.82,9.43
09,Ciudad de México,Valor,9165819,4819932,4345887,1322394,6561253,1282172,2449963,37.41,137.23,39.70,20.15,19.54,1.51,0.79,40.15,37.77,43.39,40.80,16.33,21.29,0.12
09,Ciudad de México,Error estándar,190949.06,99892.31,91791.9,32383.48,139102.72,24887.52,53255.35,0.15,2.23,0.25,0.19,0.24,0.01,0.02,0.15,0.17,0.16,0.17,0.13,0.17,0.01
09,Ciudad de México,Límite inferior de confianza,8851649.75,4655578.59,4194861.37,1269112.56,6332386.66,1241223.75,2362341.44,37.17,133.57,39.28,19.84,19.15,1.49,0.76,39.90,37.49,43.13,40.53,16.11,21.01,0.10
09,Ciudad de México,Límite superior de confianza,9479988.25,4984285.41,4496912.63,1375675.44,6790119.34,1323120.25,2537584.56,37.65,140.89,40.11,20.47,19.93,1.52,0.82,40.40,38.05,43.65,41.08,16.54,21.57,0.15
09,Ciudad de México,Coeficiente de variación,2.08,2.07,2.11,2.45,2.12,1.94,2.17,0.40,1.62,0.64,0.94,1.22,0.62,2.50,0.38,0.45,0.37,0.41,0.80,0.79,11.60
10,Durango,Valor,1931226,998431,932795,472296,1275380,182769,509343,29.72,57.53,51.36,37.03,14.33,2.15,1.51,37.10,34.34,49.36,47.87,13.42,17.65,0.37
10,Durango,Error estándar,51796.34,27515.79,24518.28,13430.41,35488.74,5867.22,14576.73,0.23,1.93,0.55,0.51,0.42,0.02,0.05,0.27,0.36,0.32,0.38,0.22,0.31,0.02
10,Durango,Límite inferior de confianza,1846025.29,953169.72,892464.42,450203.81,1217003.84,173117.67,485365.29,29.34,54.36,50.46,36.20,13.64,2.12,1.42,36.66,33.74,48.84,47.24,13.06,17.15,0.33
10,Durango,Límite superior de confianza,2016426.71,1043692.28,973125.58,494388.19,1333756.16,192420.33,533320.71,30.11,60.71,52.26,37.86,15.02,2.18,1.59,37.54,34.94,49.88,48.50,13.79,18.16,0.41
10,Durango,Coeficiente de variación,2.68,2.76,2.63,2.84,2.78,3.21,2.86,0.79,3.35,1.06,1.37,2.93,0.83,3.40,0.73,1.06,0.64,0.80,1.65,1.74,5.87
11,Guanajuato,Valor,6423384,3363913,3059471,1485401,4341452,596272,1786200,30.37,58.09,47.95,34.21,13.73,2.02,1.30,36.20,34.06,51.84,49.99,11.89,15.90,0.35
11,Guanajuato,Error estándar,85351.21,45790.14,41010.06,23860.19,56790.7,13695.15,24214.58,0.15,1.27,0.38,0.33,0.28,0.01,0.03,0.17,0.22,0.23,0.27,0.15,0.20,0.02
11,Guanajuato,Límite inferior de confianza,6282986.68,3288591.08,2992012.03,1446152.27,4248034.84,573744,1746368.43,30.13,56.00,47.33,33.67,13.27,2.00,1.24,35.91,33.70,51.46,49.54,11.65,15.57,0.33
