CVE_ENT,NOM_ENT,ESTIMADOR,POBTOT,POBFEM,POBMAS,POB0_14,POB15_64,POB65_MAS,P_15A49_F,MEDIANA_POBTOT,INDICE_ENV,RAZON_DEP_TOT,RAZON_DEP_INF,RAZON_DEP_VEJ,PROM_HNV,TGF,PCN_P12YM_SOLT,PCN_P12YM_SOLT_F,PCN_P12YM_CUL,PCN_P12YM_CUL_F,PCN_P12YM_SEPA,PCN_P12YM_SEPA_F,PCN_PRESEUA20
26,Sonora,Coeficiente de variación,1.94,1.97,1.93,2.29,2.01,2.74,2.18,0.70,3.15,1.09,1.36,2.82,0.72,3.37,0.62,0.94,0.55,0.67,1.48,1.61,5.98
27,Tabasco,Valor,2521237,1308615,1212622,598179,1698135,224857,687293,31.12,56.54,48.47,35.23,13.24,2.03,1.45,33.03,29.89,52.67,50.66,14.23,19.38,0.05
27,Tabasco,Error estándar,104778.84,53108.56,51752.51,26221.7,70194.4,9293.21,28321.85,0.20,1.18,0.40,0.40,0.22,0.02,0.03,0.17,0.21,0.22,0.27,0.17,0.24,0.01
27,Tabasco,Límite inferior de confianza,2348855.24,1221240.84,1127478.92,555038.42,1582651.3,209567.21,640697.65,30.80,54.59,47.82,34.57,12.88,2.01,1.39,32.75,29.55,52.30,50.21,13.96,18.99,0.04
27,Tabasco,Límite superior de confianza,2693618.76,1395989.16,1297765.08,641319.58,1813618.7,240146.79,733888.35,31.44,58.48,49.12,35.88,13.60,2.06,1.50,33.31,30.24,53.03,51.11,14.50,19.77,0.07
27,Tabasco,Coeficiente de variación,4.16,4.06,4.27,4.38,4.13,4.13,4.12,0.63,2.09,0.82,1.13,1.65,0.76,2.39,0.51,0.70,0.42,0.54,1.17,1.22,12.31
28,Tamaulipas,Valor,3611225,1853011,1758214,768859,2474965,367303,949481,32.51,70.19,45.91,31.07,14.84,1.91,1.25,35.13,32.35,51.31,49.80,13.47,17.77,0.42
28,Tamaulipas,Error estándar,76221.14,39013.07,37465.91,20685.61,53245.33,6837.67,22510.86,0.22,1.93,0.37,0.34,0.35,0.01,0.04,0.16,0.21,0.21,0.25,0.16,0.23,0.03
28,Tamaulipas,Límite inferior de confianza,3485847.28,1788837.46,1696585.49,734832.23,2387380.43,356055.4,912452.02,32.15,67.01,45.31,30.50,14.27,1.89,1.19,34.86,32.00,50.97,49.39,13.21,17.40,0.38
28,Tamaulipas,Límite superior de confianza,3736602.72,1917184.54,1819842.51,802885.77,2562549.57,378550.6,986509.98,32.88,73.36,46.51,31.63,15.41,1.92,1.31,35.39,32.69,51.65,50.20,13.74,18.15,0.47
28,Tamaulipas,Coeficiente de variación,2.11,2.11,2.13,2.69,2.15,1.86,2.37,0.68,2.75,0.80,1.10,2.33,0.50,2.91,0.46,0.65,0.41,0.50,1.22,1.28,6.22
29,Tlaxcala,Valor,1417240,741185,676055,317121,969034,131083,393666,30.79,60.60,46.25,32.73,13.53,1.97,1.25,36.59,34.08,50.54,48.29,12.81,17.58,0.16
29,Tlaxcala,Error estándar,18500.27,9704.49,8845.21,4205.75,12862.39,1782.49,5234.06,0.07,0.57,0.19,0.17,0.12,0.01,0.02,0.09,0.12,0.11,0.13,0.08,0.11,0.01
29,Tlaxcala,Límite inferior de confianza,1386806.96,725221.06,661504.57,310202.48,947875.28,128150.74,385055.92,30.67,59.67,45.93,32.45,13.34,1.96,1.22,36.44,33.88,50.37,48.08,12.68,17.39,0.15
29,Tlaxcala,Límite superior de confianza,1447673.04,757148.94,690605.43,324039.52,990192.72,134015.26,402276.08,30.91,61.54,46.57,33.00,13.72,1.98,1.28,36.74,34.29,50.72,48.50,12.94,17.77,0.17
29,Tlaxcala,Coeficiente de variación,1.31,1.31,1.31,1.33,1.33,1.36,1.33,0.23,0.94,0.42,0.51,0.86,0.29,1.50,0.26,0.37,0.22,0.26,0.61,0.65,4.51
30,Veracruz de Ignacio de la Llave,Valor,7902505,4164094,3738411,1641598,5295633,965043,2075712,34.21,83.97,49.22,31.00,18.22,2.01,1.24,33.76,31.17,52.13,49.80,14.06,18.97,0.19
30,Veracruz de Ignacio de la Llave,Error estándar,55542.74,29621.34,26298.11,11958.64,39064.4,7785.1,15853.69,0.07,0.59,0.16,0.11,0.12,0.00,0.01,0.08,0.10,0.09,0.10,0.07,0.09,0.01
30,Veracruz de Ignacio de la Llave,Límite inferior de confianza,7811143.88,4115370.45,3695153.78,1621927.43,5231376.75,952237.41,2049634.57,34.11,83.00,48.96,30.81,18.02,2.00,1.22,33.63,31.00,51.99,49.63,13.95,18.82,0.18
30,Veracruz de Ignacio de la Llave,Límite superior de confianza,7993866.12,4212817.55,3781668.22,1661268.57,5359889.25,977848.59,2101789.43,34.32,84.95,49.49,31.19,18.43,2.02,1.26,33.89,31.35,52.27,49.97,14.16,19.12,0.20
30,Veracruz de Ignacio de la Llave,Coeficiente de variación,0.7,0.71,0.7,0.73,0.74,0.81,0.76,0.19,0.70,0.33,0.37,0.68,0.24,0.98,0.24,0.34,0.17,0.21,0.47,0.48,2.99
31,Yucatán,Valor,2502326,1286299,1216027,499313,1748723,254260,694050,32.46,73.61,43.09,28.55,14.54,1.79,1.10,34.58,32.35,52.79,51.25,12.53,16.30,0.12
31,Yucatán,Error estándar,53152.03,28105.19,25498.51,10575.15,38831.1,8309.79,15401.65,0.20,2.49,0.46,0.37,0.43,0.01,0.04,0.25,0.32,0.34,0.40,0.23,0.30,0.02
31,Yucatán,Límite inferior de confianza,2414893.88,1240067.47,1174083.37,481917.36,1684847.96,240590.67,668715.05,32.14,69.52,42.33,27.95,13.83,1.77,1.04,34.16,31.83,52.23,50.60,12.16,15.81,0.09
31,Yucatán,Límite superior de confianza,2589758.12,1332530.53,1257970.63,516708.64,1812598.04,267929.33,719384.95,32.79,77.70,43.85,29.16,15.25,1.82,1.17,34.99,32.87,53.35,51.90,12.90,16.80,0.15
31,Yucatán,Coeficiente de variación,2.12,2.18,2.1,2.12,2.22,3.27,2.22,0.60,3.38,1.08,1.29,2.98,0.82,3.63,0.73,0.98,0.65,0.77,1.80,1.84,13.65
32,Zacatecas,Valor,1681468,878981,802487,415791,1087272,178387,441483,30.47,61.04,54.65,38.24,16.41,2.26,1.49,35.07,32.83,52.87,51.29,12.01,15.84,0.62
32,Zacatecas,Error estándar,19281.56,10123.94,9249.22,5032.47,13172.42,2358.13,5613.98,0.12,0.91,0.29,0.25,0.22,0.01,0.03,0.12,0.15,0.15,0.18,0.09,0.14,0.02
32,Zacatecas,Límite inferior de confianza,1649751.5,862327.98,787272.82,407512.94,1065604.48,174508.01,432248.43,30.27,59.54,54.18,37.83,16.05,2.24,1.45,34.87,32.59,52.62,50.99,11.85,15.61,0.59
32,Zacatecas,Límite superior de confianza,1713184.5,895634.02,817701.18,424069.06,1108939.52,182265.99,450717.57,30.67,62.54,55.12,38.65,16.77,2.27,1.54,35.27,33.08,53.13,51.58,12.16,16.06,0.65
32,Zacatecas,Coeficiente de variación,1.15,1.15,1.15,1.21,1.21,1.32,1.27,0.40,1.50,0.52,0.65,1.34,0.43,1.82,0.35,0.45,0.29,0.35,0.79,0.85,2.76
