LocID,ISO3,country,year,un_published,un_method,tfr1,tfr1_0_14,tfr1_65p,un_0_14,un_65p,tfr2025,tfr2025_un
660,AIA,Anguilla,2025,0.014728,0.014739,0.014739,0.0023079999999999997,0.0019089999999999999,0.0023079999999999997,0.0019089999999999999,1.3485,1.3485
660,AIA,Anguilla,2030,0.014977,0.014939478276608626,0.014851634285891854,0.0020027300428299283,0.0023932281966655843,0.0020905740335466997,0.0023932281966655843,1.3485,1.3485
660,AIA,Anguilla,2035,0.015082,0.01502942260132557,0.014762927566774074,0.0018019943209650635,0.002948304364328491,0.0020684893555165578,0.002948304364328491,1.3485,1.3485
660,AIA,Anguilla,2040,0.015014,0.014953417593177374,0.014509602496955562,0.0015860002880166582,0.0034394999293935356,0.0020298153842384695,0.0034394999293935356,1.3485,1.3485
660,AIA,Anguilla,2045,0.014893,0.014820836889507253,0.014207564144734243,0.0014262967394673193,0.003761142792007377,0.0019518747841003844,0.003761142792007377,1.3485,1.3485
660,AIA,Anguilla,2050,0.014551999999999999,0.014494874265607112,0.013715967120332573,0.0012966268074231476,0.004097714121717193,0.0018095110260692357,0.004097714121717193,1.3485,1.3485
660,AIA,Anguilla,2055,0.014128,0.01406953953114342,0.0131204208163156,0.0011379163783753442,0.004201337854069389,0.0016441091139735614,0.004201337854069389,1.3485,1.3485
660,AIA,Anguilla,2060,0.013637,0.013595211058740585,0.012460189987427176,0.000987630734433419,0.0041343661783862385,0.0015107706848645067,0.0041343661783862385,1.3485,1.3485
660,AIA,Anguilla,2065,0.013097,0.013049873286309573,0.011709940807636095,0.0008601811913271226,0.004127854538770088,0.0014231394101665673,0.004127854538770088,1.3485,1.3485
660,AIA,Anguilla,2070,0.012549,0.012519838423999154,0.01096484723827147,0.0007636289120513879,0.004260750944172837,0.0013720529563800894,0.004260750944172837,1.3485,1.3485
660,AIA,Anguilla,2075,0.012027,0.012001375472688544,0.010232564610423012,0.0006846411215373567,0.004481388764293329,0.0013218313167831387,0.004481388764293329,1.3485,1.3485
660,AIA,Anguilla,2080,0.011496000000000001,0.011483729155065474,0.009508107818256067,0.0006127720512715118,0.004450424597041002,0.0012531523466337217,0.004450424597041002,1.3485,1.3485
660,AIA,Anguilla,2085,0.010954,0.010954595831133264,0.008777312004258929,0.0005457293079192216,0.004250053211773458,0.00117468544924692,0.004250053211773458,1.3485,1.3485
660,AIA,Anguilla,2090,0.010409,0.01042671019179653,0.008049683425183586,0.0004828585292907982,0.004051374873094111,0.0011006763276271033,0.004051374873094111,1.3485,1.3485
660,AIA,Anguilla,2095,0.009862,0.009893282419689316,0.00731637576910793,0.00042598733286328355,0.0037630584655383046,0.0010411999450867235,0.003846204440947113,1.3485,1.3485
660,AIA,Anguilla,2100,0.009309,0.00935641631540696,0.006581197169523438,0.00037692767828156106,0.0034006235906525366,0.0009953264542888133,0.0036513820005920974,1.3485,1.3485
28,ATG,Antigua and Barbuda,2025,0.094209,0.09421299999999999,0.09421299999999999,0.016458999999999998,0.011623999999999999,0.016458999999999998,0.011623999999999999,1.5765,1.5765
28,ATG,Antigua and Barbuda,2030,0.096,0.09594034290588449,0.09499050986901741,0.015045532080246431,0.014663062800173148,0.015995365117113514,0.014663062800173148,1.5765,1.5765
28,ATG,Antigua and Barbuda,2035,0.09700700000000001,0.09690265194876062,0.09415004211384326,0.013021410931549411,0.017755446138160613,0.01577402076646678,0.017755446138160613,1.5765,1.5765
28,ATG,Antigua and Barbuda,2040,0.097133,0.09701251536283541,0.09256134154455856,0.01052289387666291,0.020034884265709773,0.014974067694939761,0.020034884265709773,1.5765,1.5765
28,ATG,Antigua and Barbuda,2045,0.09641899999999999,0.09631624170843149,0.09023343026931033,0.00898849577322037,0.021667394576774704,0.01412446163150528,0.021667394576774704,1.5765,1.5765
28,ATG,Antigua and Barbuda,2050,0.095055,0.09496952321600506,0.0872545701470284,0.00836471865880958,0.02307404707373654,0.013335600013584916,0.02307404707373654,1.5765,1.5765
28,ATG,Antigua and Barbuda,2055,0.09312999999999999,0.09310369744377273,0.08368060385453305,0.007662744047608361,0.02446824398677589,0.0126505352509624,0.02446824398677589,1.5765,1.5765
28,ATG,Antigua and Barbuda,2060,0.090969,0.09097669675940627,0.07971620757954917,0.006882843629824609,0.02564113856943709,0.01208641818860387,0.02564113856943709,1.5765,1.5765
28,ATG,Antigua and Barbuda,2065,0.088552,0.08858086972132707,0.07534566431124853,0.006048045373668465,0.026639100984660827,0.011605986316070769,0.026639100984660827,1.5765,1.5765
28,ATG,Antigua and Barbuda,2070,0.085865,0.08594567814761678,0.07065838143483325,0.005230431386522136,0.027018275805647706,0.011145527459488089,0.027018275805647706,1.5765,1.5765
28,ATG,Antigua and Barbuda,2075,0.082976,0.08314326100002348,0.06581662713415597,0.004515049860859867,0.027349511385077033,0.01064750002135597,0.027349511385077033,1.5765,1.5765
28,ATG,Antigua and Barbuda,2080,0.079913,0.08017050541444891,0.060862329185046075,0.003954138992776028,0.026849747756411822,0.01011345756001911,0.026849747756411822,1.5765,1.5765
28,ATG,Antigua and Barbuda,2085,0.076819,0.07717726976416828,0.05592576403036722,0.0035394825478637895,0.0258584170880491,0.009618107587790446,0.0258584170880491,1.5765,1.5765
28,ATG,Antigua and Barbuda,2090,0.073735,0.07418489953473902,0.05100406215571935,0.0031810051201422826,0.025231150395110813,0.009189622951037245,0.025231150395110813,1.5765,1.5765
28,ATG,Antigua and Barbuda,2095,0.07076099999999999,0.07131261481088005,0.04621964001513664,0.0028270550105047045,0.02372768212537015,0.008823223631747219,0.024604169045289368,1.5765,1.5765
28,ATG,Antigua and Barbuda,2100,0.067975,0.06861227506950991,0.04164861204071578,0.0024808786281398073,0.02146138200717004,0.008486257983564,0.023983825464319007,1.5765,1.5765
533,ABW,Aruba,2025,0.10814700000000001,0.108149,0.108149,0.017865000000000002,0.019209,0.017865000000000002,0.019209,1.605,1.605
533,ABW,Aruba,2030,0.107864,0.10775421121352184,0.1067879098248479,0.015159109612434907,0.022718632141905306,0.016125411001108855,0.022718632141905306,1.605,1.605
533,ABW,Aruba,2035,0.10667700000000001,0.10651922495173025,0.10360668188003175,0.012476793551064248,0.024949613433043936,0.015389336622762777,0.024949613433043936,1.605,1.605
533,ABW,Aruba,2040,0.10488800000000001,0.10468261654987862,0.09980535106692712,0.010562039487845024,0.025734221665626913,0.015439304970796534,0.025734221665626913,1.605,1.605
