RAMO_K,mdp_2026,mdp_2027,dif_nominal,dif_real,var_real_pct,estado,nivel,PP_K,PP_NUM,UR_K,F_K,FN_K,SF_K
34,35553.4,27921.8,-7631.6,-9053.7,-24.5,continúa,programa,D011,,,,,
11,26000.0,20000.0,-6000.0,-7040.0,-26.0,continúa,programa,S282,,,,,
19,43693.1,38500.0,-5193.1,-6940.9,-15.3,continúa,programa,J006,,,,,
36,3863.4,0.0,-3863.4,-4017.9,-100.0,desaparece,programa,P049,,,,,
GYR,34599.7,30802.3,-3797.3,-5181.3,-14.4,continúa,programa,016 ,,,,,
06,3426.4,0.0,-3426.4,-3563.4,-100.0,desaparece,programa,E012,,,,,
16,16947.9,13577.2,-3370.7,-4048.6,-23.0,continúa,programa,K027,,,,,
19,29936.4,26584.6,-3351.8,-4549.3,-14.6,continúa,programa,J011,,,,,
24,151456.7,148596.3,-2860.4,-8918.7,-5.7,continúa,programa,D005,,,,,
09,3750.5,926.4,-2824.2,-2974.2,-76.2,continúa,programa,E019,,,,,
24,25455.5,22849.5,-2605.9,-3624.2,-13.7,continúa,programa,D007,,,,,
48,2596.5,0.0,-2596.5,-2700.3,-100.0,desaparece,programa,E063,,,,,
08,13000.0,10445.0,-2555.0,-3075.0,-22.7,continúa,programa,S290,,,,,
TVV,61091.0,58691.6,-2399.4,-4843.0,-7.6,continúa,programa,024 ,,,,,
12,2751.5,405.0,-2346.5,-2456.5,-85.8,continúa,programa,U012,,,,,
36,4529.4,2211.7,-2317.7,-2498.9,-53.0,continúa,programa,E054,,,,,
13,2070.4,0.0,-2070.4,-2153.2,-100.0,desaparece,programa,K021,,,,,
TVV,67841.7,66154.8,-1686.9,-4400.6,-6.2,continúa,programa,022 ,,,,,
07,1510.9,0.0,-1510.9,-1571.4,-100.0,desaparece,programa,K003,,,,,
19,1422.4,92.0,-1330.4,-1387.3,-93.8,continúa,programa,J005,,,,,
07,3422.2,2152.0,-1270.2,-1407.1,-39.5,continúa,programa,E017,,,,,
08,18200.0,17000.0,-1200.0,-1928.0,-10.2,continúa,programa,S292,,,,,
09,1604.0,471.6,-1132.4,-1196.5,-71.7,continúa,programa,G006,,,,,
24,20262.1,19137.4,-1124.7,-1935.2,-9.2,continúa,programa,D009,,,,,
TYY,1069.6,0.0,-1069.6,-1112.4,-100.0,desaparece,programa,029 ,,,,,
TYY,2577.0,1512.8,-1064.2,-1167.3,-43.6,continúa,programa,036 ,,,,,
16,3848.7,2799.0,-1049.7,-1203.6,-30.1,continúa,programa,E045,,,,,
TVV,11511.0,10733.6,-777.4,-1237.9,-10.3,continúa,programa,030 ,,,,,
TYY,755.4,0.0,-755.4,-785.6,-100.0,desaparece,programa,075 ,,,,,
07,744.7,0.0,-744.7,-774.5,-100.0,desaparece,programa,E014,,,,,
06,645.9,0.0,-645.9,-671.7,-100.0,desaparece,programa,E006,,,,,
TVV,30500.0,30000.0,-500.0,-1720.0,-5.4,continúa,programa,033 ,,,,,
16,2257.5,1771.7,-485.9,-576.2,-24.5,continúa,programa,U074,,,,,
23,5117.9,4637.0,-480.8,-685.6,-12.9,continúa,programa,R029,,,,,
36,478.3,0.0,-478.3,-497.4,-100.0,desaparece,programa,P048,,,,,
08,17472.0,17000.0,-472.0,-1170.9,-6.4,continúa,programa,S293,,,,,
19,681.6,253.2,-428.4,-455.7,-64.3,continúa,programa,U002,,,,,
TYY,18166.4,17738.5,-427.9,-1154.5,-6.1,continúa,programa,076 ,,,,,
16,1932.9,1514.7,-418.2,-495.5,-24.6,continúa,programa,U217,,,,,
GYR,1353.7,1000.0,-353.7,-407.8,-29.0,continúa,programa,007 ,,,,,
49,1048.7,696.2,-352.5,-394.4,-36.2,continúa,programa,E006,,,,,
09,1589.4,1276.1,-313.3,-376.9,-22.8,continúa,programa,M001,,,,,
16,500.0,204.2,-295.8,-315.8,-60.7,continúa,programa,K028,,,,,
