RAMO_K,mdp_2025,mdp_2026,dif_nominal,dif_real,var_real_pct,estado,nivel,PP_K,PP_NUM,UR_K,F_K,FN_K,SF_K
47,174623.0,8365.5,-166257.5,-174639.4,-95.4,continúa,ramo,,,,,,
22,40476.1,22837.2,-17638.8,-19581.7,-46.2,continúa,ramo,,,,,,
34,52451.9,35553.4,-16898.5,-19416.2,-35.3,continúa,ramo,,,,,,
36,70422.2,60110.9,-10311.3,-13691.6,-18.6,continúa,ramo,,,,,,
15,38048.0,36290.1,-1757.9,-3584.2,-9.0,continúa,ramo,,,,,,
43,1680.0,0.0,-1680.0,-1760.6,-100.0,desaparece,ramo,,,,,,
44,994.0,0.0,-994.0,-1041.7,-100.0,desaparece,ramo,,,,,,
41,687.9,0.0,-687.9,-720.9,-100.0,desaparece,ramo,,,,,,
01,18069.6,17529.1,-540.5,-1407.8,-7.4,continúa,ramo,,,,,,
40,12245.3,11807.5,-437.8,-1025.6,-8.0,continúa,ramo,,,,,,
04,10304.8,9959.7,-345.1,-839.7,-7.8,continúa,ramo,,,,,,
16,44370.5,44064.1,-306.4,-2436.2,-5.2,continúa,ramo,,,,,,
45,199.9,0.0,-199.9,-209.4,-100.0,desaparece,ramo,,,,,,
46,173.3,0.0,-173.3,-181.6,-100.0,desaparece,ramo,,,,,,
02,867.6,800.5,-67.2,-108.8,-12.0,continúa,ramo,,,,,,
10,3597.9,3535.5,-62.5,-235.2,-6.2,continúa,ramo,,,,,,
05,9294.2,9294.2,-0.0,-446.1,-4.6,continúa,ramo,,,,,,
31,891.8,895.3,3.5,-39.3,-4.2,continúa,ramo,,,,,,
37,149.6,153.1,3.5,-3.7,-2.3,continúa,ramo,,,,,,
21,1774.9,1793.5,18.6,-66.6,-3.6,continúa,ramo,,,,,,
13,65888.7,65926.8,38.1,-3124.6,-4.5,continúa,ramo,,,,,,
27,1699.0,1743.1,44.0,-37.5,-2.1,continúa,ramo,,,,,,
32,3304.5,3400.0,95.5,-63.2,-1.8,continúa,ramo,,,,,,
35,1722.4,1834.3,111.9,29.2,1.6,continúa,ramo,,,,,,
12,66693.2,66825.8,132.6,-3068.7,-4.4,continúa,ramo,,,,,,
14,27830.2,28441.9,611.7,-724.2,-2.5,continúa,ramo,,,,,,
49,20126.0,21059.4,933.5,-32.6,-0.2,continúa,ramo,,,,,,
03,85025.8,85960.2,934.4,-3146.8,-3.5,continúa,ramo,,,,,,
48,12081.5,13097.4,1015.9,436.0,3.4,continúa,ramo,,,,,,
06,25626.3,26792.1,1165.8,-64.3,-0.2,continúa,ramo,,,,,,
38,33295.9,34860.8,1564.9,-33.3,-0.1,continúa,ramo,,,,,,
08,73616.7,75195.5,1578.8,-1954.8,-2.5,continúa,ramo,,,,,,
23,165753.8,167652.2,1898.4,-6057.8,-3.5,continúa,ramo,,,,,,
54,0.0,2141.0,2141.0,2141.0,inf,aparece,ramo,,,,,,
25,81668.0,85182.4,3514.4,-405.7,-0.5,continúa,ramo,,,,,,
55,0.0,3852.7,3852.7,3852.7,inf,aparece,ramo,,,,,,
09,140799.0,153539.3,12740.2,5981.9,4.1,continúa,ramo,,,,,,
GYN,525615.4,539020.8,13405.4,-11824.2,-2.1,continúa,ramo,,,,,,
TVV,583951.1,602567.5,18616.4,-9413.3,-1.5,continúa,ramo,,,,,,
07,151995.0,170753.1,18758.2,11462.4,7.2,continúa,ramo,,,,,,
30,45800.0,70855.7,25055.7,22857.3,47.6,continúa,ramo,,,,,,
19,1480920.4,1541518.7,60598.3,-10485.9,-0.7,continúa,ramo,,,,,,
33,979951.8,1041892.9,61941.1,14903.5,1.5,continúa,ramo,,,,,,
11,450887.9,513015.6,62127.7,40485.1,8.6,continúa,ramo,,,,,,
20,579883.9,674510.0,94626.2,66791.7,11.0,continúa,ramo,,,,,,
TYY,612145.9,708200.9,96055.0,66672.0,10.4,continúa,ramo,,,,,,
28,1340210.9,1456045.9,115835.0,51504.9,3.7,continúa,ramo,,,,,,
GYR,1469410.4,1590308.7,120898.3,50366.6,3.3,continúa,ramo,,,,,,
18,138307.4,267439.1,129131.8,122493.0,84.5,continúa,ramo,,,,,,
24,1149551.6,1297681.1,148129.5,92951.0,7.7,continúa,ramo,,,,,,
56,0.0,172492.4,172492.4,172492.4,inf,aparece,ramo,,,,,,
GYR,864184.4,99666.9,-764517.5,-805998.3,-89.0,continúa,programa,001 ,,,,,
19,753202.1,324.4,-752877.7,-789031.4,-100.0,continúa,programa,J008,,,,,
GYN,355127.2,0.0,-355127.2,-372173.3,-100.0,desaparece,programa,026 ,,,,,
GYR,342575.9,0.0,-342575.9,-359019.6,-100.0,desaparece,programa,011 ,,,,,
19,386051.6,43693.1,-342358.4,-360888.9,-89.2,continúa,programa,J006,,,,,
TYY,264506.8,0.0,-264506.8,-277203.1,-100.0,desaparece,programa,002 ,,,,,
TYY,154182.1,0.0,-154182.1,-161582.8,-100.0,desaparece,programa,015 ,,,,,
GYR,149582.1,0.0,-149582.1,-156762.1,-100.0,desaparece,programa,003 ,,,,,
18,136349.3,0.0,-136349.3,-142894.1,-100.0,desaparece,programa,P003,,,,,
TVV,124772.1,0.0,-124772.1,-130761.1,-100.0,desaparece,programa,584 ,,,,,
TVV,122765.2,0.0,-122765.2,-128658.0,-100.0,desaparece,programa,561 ,,,,,
09,90166.3,0.0,-90166.3,-94494.3,-100.0,desaparece,programa,R023,,,,,
47,85845.7,0.0,-85845.7,-89966.2,-100.0,desaparece,programa,U013,,,,,
47,66148.5,0.0,-66148.5,-69323.7,-100.0,desaparece,programa,E001,,,,,
11,60555.5,0.0,-60555.5,-63462.2,-100.0,desaparece,programa,E010,,,,,
TVV,145047.1,86545.1,-58502.0,-65464.2,-43.1,continúa,programa,001 ,,,,,
TVV,54394.3,0.0,-54394.3,-57005.2,-100.0,desaparece,programa,580 ,,,,,
11,52124.2,0.0,-52124.2,-54626.1,-100.0,desaparece,programa,E007,,,,,
TVV,47408.2,0.0,-47408.2,-49683.8,-100.0,desaparece,programa,581 ,,,,,
25,47090.2,0.0,-47090.2,-49350.5,-100.0,desaparece,programa,E003,,,,,
07,40985.7,0.0,-40985.7,-42953.1,-100.0,desaparece,programa,R027,,,,,
19,42000.0,2742.1,-39257.9,-41273.9,-93.8,continúa,programa,J012,,,,,
GYN,36717.1,0.0,-36717.1,-38479.6,-100.0,desaparece,programa,044 ,,,,,
GYR,35283.7,0.0,-35283.7,-36977.3,-100.0,desaparece,programa,002 ,,,,,
19,42600.0,8744.9,-33855.1,-35899.9,-80.4,continúa,programa,J009,,,,,
07,42904.9,9996.3,-32908.6,-34968.1,-77.8,continúa,programa,A002,,,,,
GYR,30920.2,0.0,-30920.2,-32404.3,-100.0,desaparece,programa,004 ,,,,,
12,30510.3,0.0,-30510.3,-31974.8,-100.0,desaparece,programa,E023,,,,,
23,29517.5,0.0,-29517.5,-30934.3,-100.0,desaparece,programa,R125,,,,,
19,28702.1,0.0,-28702.1,-30079.8,-100.0,desaparece,programa,T006,,,,,
19,28074.1,0.0,-28074.1,-29421.7,-100.0,desaparece,programa,J025,,,,,
TVV,26929.2,0.0,-26929.2,-28221.8,-100.0,desaparece,programa,027 ,,,,,
GYN,25856.6,0.0,-25856.6,-27097.7,-100.0,desaparece,programa,025 ,,,,,
TYY,23906.6,0.0,-23906.6,-25054.1,-100.0,desaparece,programa,027 ,,,,,
36,23305.9,0.0,-23305.9,-24424.5,-100.0,desaparece,programa,E004,,,,,
13,22058.5,0.0,-22058.5,-23117.3,-100.0,desaparece,programa,K040,,,,,
GYN,22047.8,0.0,-22047.8,-23106.1,-100.0,desaparece,programa,002 ,,,,,
13,20706.9,0.0,-20706.9,-21700.8,-100.0,desaparece,programa,A001,,,,,
36,20205.6,0.0,-20205.6,-21175.5,-100.0,desaparece,programa,E006,,,,,
23,18677.2,0.0,-18677.2,-19573.7,-100.0,desaparece,programa,N001,,,,,
TYY,18415.8,0.0,-18415.8,-19299.8,-100.0,desaparece,programa,013 ,,,,,
TVV,17662.8,0.0,-17662.8,-18510.7,-100.0,desaparece,programa,579 ,,,,,
19,17428.7,0.0,-17428.7,-18265.3,-100.0,desaparece,programa,R018,,,,,
11,17424.8,0.0,-17424.8,-18261.1,-100.0,desaparece,programa,E021,,,,,
34,52451.9,35553.4,-16898.5,-19416.2,-35.3,continúa,programa,D011,,,,,
09,16595.1,0.0,-16595.1,-17391.7,-100.0,desaparece,programa,G003,,,,,
07,17289.5,1060.4,-16229.1,-17059.0,-94.1,continúa,programa,A026,,,,,
GYN,16259.3,188.1,-16071.1,-16851.6,-98.9,continúa,programa,018 ,,,,,
GYR,16525.9,1353.7,-15172.2,-15965.5,-92.2,continúa,programa,007 ,,,,,
20,15000.0,0.0,-15000.0,-15720.0,-100.0,desaparece,programa,U316,,,,,
GYR,13330.4,0.0,-13330.4,-13970.2,-100.0,desaparece,programa,012 ,,,,,
TVV,13130.0,0.0,-13130.0,-13760.2,-100.0,desaparece,programa,044 ,,,,,
16,13100.2,0.0,-13100.2,-13729.0,-100.0,desaparece,programa,R018,,,,,
TVV,10521.0,0.0,-10521.0,-11026.0,-100.0,desaparece,programa,562 ,,,,,
36,10208.9,0.0,-10208.9,-10699.0,-100.0,desaparece,programa,R001,,,,,
GYR,10138.9,0.0,-10138.9,-10625.6,-100.0,desaparece,programa,029 ,,,,,
09,10000.0,0.0,-10000.0,-10480.0,-100.0,desaparece,programa,R026,,,,,
09,10000.0,0.0,-10000.0,-10480.0,-100.0,desaparece,programa,K032,,,,,
TVV,9935.1,0.0,-9935.1,-10412.0,-100.0,desaparece,programa,582 ,,,,,
23,9510.4,0.0,-9510.4,-9966.9,-100.0,desaparece,programa,R001,,,,,
06,9415.1,0.0,-9415.1,-9867.0,-100.0,desaparece,programa,E026,,,,,
TVV,9116.0,0.0,-9116.0,-9553.6,-100.0,desaparece,programa,029 ,,,,,
19,8772.7,0.0,-8772.7,-9193.8,-100.0,desaparece,programa,J021,,,,,
16,7864.1,0.0,-7864.1,-8241.6,-100.0,desaparece,programa,G010,,,,,
12,7847.9,0.0,-7847.9,-8224.6,-100.0,desaparece,programa,E010,,,,,
22,10059.8,2314.3,-7745.5,-8228.4,-78.0,continúa,programa,R003,,,,,
13,7690.5,0.0,-7690.5,-8059.7,-100.0,desaparece,programa,A026,,,,,
GYN,7493.5,0.0,-7493.5,-7853.2,-100.0,desaparece,programa,043 ,,,,,
47,6981.4,0.0,-6981.4,-7316.5,-100.0,desaparece,programa,E003,,,,,
