SF_K,mdp_2026,mdp_2027,dif_nominal,var_real_pct
2.6.1,42072.680,33478.195,-8594.485,-23.488
2.6.2,2758176.287,3016404.529,258228.242,5.156
2.6.3,21114.279,23298.111,2183.832,6.099
2.6.6,995.930,1068.155,72.225,3.127
2.6.7,5038.943,5281.309,242.366,0.779
2.6.8,699616.340,723843.526,24227.186,-0.516
2.6.9,266447.586,273853.204,7405.618,-1.174
