SF_K,mdp_2026,mdp_2027,dif_nominal,var_real_pct
2.5.1,766810.555,836253.580,69443.025,4.862
2.5.2,152047.210,161187.851,9140.641,1.934
2.5.3,170612.816,187259.589,16646.773,5.536
2.5.4,10819.548,12029.832,1210.284,6.910
2.5.5,5699.765,5988.233,288.468,1.020
2.5.6,55872.540,96507.139,40634.599,66.084
