ejercicio,total,corriente_sin_costo_financiero,costo_financiero,pensiones,inversion_tg2_tg3
2026,1310768.382,598656.954,238838.797,160175.106,313097.525
2027,1253878.258,573721.317,203008.452,160627.703,316520.786
