age_period,male,female
1,1.00000000,1.00000000
2,1.00000000,1.00000000
3,1.00000000,1.00000000
4,1.00000000,1.00000000
5,1.00000000,1.00000000
6,1.00000000,1.00000000
7,0.98972953,0.99229715
8,0.98185396,0.98639047
9,0.97070373,0.97802780
10,0.95530594,0.96647946
11,0.93417914,0.95063436
12,0.90238714,0.92679036
13,0.83653436,0.87740077
14,0.71048182,0.78286137
15,0.52669353,0.64502015
16,0.31179803,0.48384852
17,0.15000000,0.36250000
