WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	Estimates Start After	Unnamed: 61
228	CHL	NGDP_RPCH	Chile	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	7.945	6.212	-13.588	-2.802	5.886	1.968	5.596	6.581	7.288	10.605	3.671	7.804	11.167	6.589	5.030	8.933	4.985	7.392	4.181	-0.274	4.972	3.154	3.203	4.723	6.674	5.837	6.050	5.168	3.789	-1.118	5.852	6.224	6.155	3.309	1.793	2.152	1.753	1.358	3.990	0.634	-6.143	11.315	2.154	0.521	2.644	2.032	2.182	2.258	2.315	2.305	2.232	2024	
228	CHL	NGDP	Chile	Gross domestic product, current prices	Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	National currency	Billions	Source: Central Bank. Real annual data based on seasonally adjusted quarterly data. Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 2003 Primary domestic currency: Chilean peso Data last updated: 04/08/2025	1,132.259	1,340.600	1,304.797	1,640.268	1,993.741	2,792.492	3,600.430	4,829.197	6,357.250	7,978.993	10,132.306	13,357.255	16,895.065	20,149.652	24,167.364	29,408.536	32,393.863	35,946.986	37,741.618	38,461.784	42,215.030	45,409.054	48,428.962	52,897.340	60,391.763	68,467.940	81,577.533	90,159.479	93,867.122	96,138.477	110,777.867	121,509.299	129,973.394	137,309.192	147,951.291	158,622.903	168,764.687	179,314.910	189,434.867	195,531.722	201,257.745	239,418.124	263,065.442	281,857.487	311,630.878	330,231.664	346,360.791	364,763.724	383,649.928	403,243.406	423,543.732	2024	
228	CHL	NGDP_D	Chile	Gross domestic product, deflator	The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.	Index	Units	See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).	2.838	3.164	3.563	4.609	5.290	7.267	8.873	11.166	13.701	15.547	19.044	23.288	26.497	29.648	33.856	37.820	39.681	41.003	41.322	42.226	44.152	46.040	47.578	49.624	53.110	56.892	63.918	67.170	67.379	69.790	75.972	78.449	79.048	80.835	85.566	89.805	93.901	98.435	100.000	102.568	112.482	120.208	129.296	137.813	148.446	154.174	158.252	162.981	167.541	172.129	176.848	2024	
228	CHL	PCPIPCH	Chile	Inflation, average consumer prices	Annual percentages of average consumer prices are year-on-year changes.	Percent change	Units	See notes for:  Inflation, average consumer prices (Index).	35.138	19.687	9.941	27.257	19.860	30.703	19.477	19.881	14.684	17.028	26.036	21.784	15.426	12.728	11.443	8.233	7.359	6.134	5.110	3.337	3.843	3.569	2.489	2.810	1.055	3.052	3.392	4.408	8.716	1.484	1.410	3.341	3.006	1.794	4.715	4.349	3.787	2.182	2.319	2.254	3.045	4.525	11.644	7.582	3.927	4.363	3.172	3.000	3.000	3.000	3.000	2024	
228	CHL	GGR_NGDP	Chile	General government revenue	Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.	Percent of GDP	Units	See notes for:  General government revenue (National currency).											23.242	22.790	23.040	22.633	22.059	22.552	22.706	22.621	22.296	21.675	22.177	22.687	22.031	21.803	22.866	24.817	26.239	27.261	25.722	20.717	23.104	24.313	23.772	22.643	22.356	22.939	22.706	22.865	24.133	23.767	21.993	26.090	28.085	25.122	23.740	24.640	25.126	25.402	25.344	25.161	25.205	2024	
228	CHL	GGX_NGDP	Chile	General government total expenditure	Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.	Percent of GDP	Units	See notes for:  General government total expenditure (National currency).											20.991	21.249	20.933	21.218	20.621	19.451	20.635	20.582	21.905	23.692	22.870	23.181	23.202	22.218	20.816	20.249	18.730	19.307	21.791	24.976	23.466	22.886	23.089	23.113	23.853	25.028	25.367	25.493	25.616	26.497	29.088	33.615	26.725	27.396	26.479	26.648	26.215	26.092	26.082	26.254	26.249	2024	
228	CHL	GGXCNL_NGDP	Chile	General government net lending/borrowing	Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.	Percent of GDP	Units	See notes for:  General government net lending/borrowing (National currency).											2.251	1.541	2.108	1.415	1.437	3.101	2.071	2.039	0.390	-2.018	-0.693	-0.495	-1.171	-0.416	2.051	4.568	7.509	7.955	3.930	-4.259	-0.363	1.427	0.682	-0.470	-1.496	-2.089	-2.661	-2.628	-1.482	-2.731	-7.095	-7.525	1.360	-2.273	-2.739	-2.008	-1.090	-0.690	-0.738	-1.093	-1.043	2024	
228	CHL	GGXONLB_NGDP	Chile	General government primary net lending/borrowing	Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).	Percent of GDP	Units	See notes for:  General government primary net lending/borrowing (National currency).											4.636	3.785	3.885	2.958	2.798	4.059	2.814	2.689	0.897	-1.477	-0.055	-0.037	-0.678	0.112	2.549	5.006	7.681	7.770	3.573	-4.459	-0.312	1.524	0.792	-0.389	-1.352	-1.871	-2.377	-2.267	-1.112	-2.380	-6.575	-6.903	1.840	-1.913	-1.977	-1.089	-0.054	0.349	0.271	-0.033	-0.154	2024	
228	CHL	GGXWDN_NGDP	Chile	General government net debt	Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.	Percent of GDP	Units	See notes for:  General government net debt (National currency).												22.339	14.819	13.401	8.033	3.889	1.441	-0.431	-0.275	1.628	3.071	5.572	7.581	6.490	3.991	-0.054	-6.666	-13.006	-19.265	-10.583	-7.040	-8.597	-6.771	-5.646	-4.369	-3.460	0.945	4.422	5.740	7.993	13.307	20.229	20.467	23.216	25.767	26.865	27.334	27.220	27.181	27.511	27.787	2024	
228	CHL	GGXWDG_NGDP	Chile	General government gross debt	Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).	Percent of GDP	Units	See notes for:  General government gross debt (National currency).												37.104	30.492	28.087	22.610	17.250	14.584	12.780	12.115	13.277	13.146	14.348	15.045	12.573	10.314	7.040	5.022	3.901	4.916	5.845	8.607	11.127	11.939	12.784	15.020	17.375	21.101	23.652	25.798	28.330	32.380	36.448	37.907	39.415	41.981	42.984	43.415	43.206	43.520	43.452	44.345	2024	
