country,reference_spec,lag,n,beta,se,ci_lo,ci_hi,pvalue,amplifying,note
COL,peer_younger,1,42,1.386903287272384,0.1391192381720236,1.1142345908985676,1.6595719836462002,2.0796011786602944e-23,False,
COL,peer_younger,2,39,-0.0459754481943427,0.0067972073920013,-0.0592977298781148,-0.0326531665105706,1.3435077691552054e-11,True,
COL,pop2039,1,56,1.1076929613130109,0.3931743705245478,0.3370853554406906,1.878300567185331,0.0048428189637413,False,
COL,pop2039,2,52,-0.012791027776324,0.0286142492939059,-0.0688739258370303,0.0432918702843821,0.6548634945706102,False,
COL,own_lag,1,56,1.0597834125141845,0.0605621090526681,0.9410838599431676,1.1784829650852011,1.45508298841298e-68,False,MECHANICAL own-lag — comparator only
COL,own_lag,2,40,-0.0243351934906598,0.0221225242253181,-0.0676945442193983,0.0190241572380785,0.2713239122353502,False,MECHANICAL own-lag — comparator only
