RAMO_K,mdp_2025_proyecto,mdp_2026,nombre,dif_nominal,dif_real,var_real_pct
16,17508.9,16975.0,16 Medio Ambiente y Recursos Naturales,-533.9,-1374.3,-7.5
TOTAL,17508.9,16975.0,,-533.9,-1374.3,-7.5
