RAMO_K,mdp_2025_proyecto,mdp_2026,nombre,dif_nominal,dif_real,var_real_pct
TOTAL,1071949.8,1161862.4,,89912.6,38459.0,3.4
33,553261.9,580679.2,33 Aportaciones Federales para Entidades Federativas y Municipios,27417.3,860.7,0.1
11,425724.6,484216.7,11 Educación Pública,58492.1,38057.3,8.5
25,81610.1,85143.4,"25 Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",3533.4,-383.9,-0.4
08,5136.7,5700.2,08 Agricultura y Desarrollo Rural,563.5,316.9,5.9
07,3699.9,3617.9,07 Defensa Nacional,-82.0,-259.6,-6.7
13,2138.2,2137.3,13 Marina,-0.9,-103.5,-4.6
47,378.4,367.8,47 Entidades no Sectorizadas,-10.7,-28.9,-7.3
