concepto,mdp_2025_proyecto,mdp_2026,dif_nominal,dif_real,var_real_pct,pct_pib_2026
2.1 Proteccion Ambiental (completa),17508.90,16975.03,-533.87,-1374.30,-7.49,0.04
  2.1.2 Ordenacion de aguas residuales,10244.09,5399.76,-4844.33,-5336.04,-49.70,0.01
  2.1.3 Reduccion de la contaminacion,3003.64,7138.37,4134.73,3990.55,126.77,0.02
  2.1.5 Proteccion de la diversidad biologica,1001.06,1002.27,1.20,-46.85,-4.47,0.00
  2.1.6 Otros de proteccion ambiental,3260.10,3434.63,174.52,18.04,0.53,0.01
2.2.3 Abastecimiento de agua,19194.27,17560.24,-1634.03,-2555.36,-12.70,0.05
PERIMETRO (2.1 + 2.2.3),36703.17,34535.27,-2167.90,-3929.66,-10.22,0.09
