SF_K,mdp_2025_proyecto,mdp_2026,var_real_pct
1,37641.7,42072.7,6.7
2,2657844.7,2758176.3,-1.0
3,20299.8,21114.3,-0.8
6,1009.1,995.9,-5.8
7,4843.9,5038.9,-0.7
8,602889.6,699616.3,10.7
9,247693.9,266447.6,2.6
