SF_K,mdp_2025_proyecto,mdp_2026,var_real_pct
1,690468.9,766810.6,6.0
2,151771.4,152047.2,-4.4
3,159807.9,170612.8,1.9
4,9430.3,10819.5,9.5
5,5640.5,5699.8,-3.6
6,54830.9,55872.5,-2.8
