country,reference_spec,role,lag,n,beta,se,ci_lo,ci_hi,pvalue,amplifying,note,estimator_level,period_F,period_p,period_present
CRI,peer_younger,primary,1,36,0.17224224772999402,0.09587020149694955,-0.015659894394625062,0.3601443898546131,0.07239608919561663,False,,ecological — REDATAM pre-tabulated cells,1.5134852381587804,0.18476554699797815,False
CRI,peer_younger,primary,2,33,0.11532635088580358,0.03943047250032724,0.038044044891765175,0.19260865687984197,0.0034467472163938855,False,,ecological — REDATAM pre-tabulated cells,1.5134852381587804,0.18476554699797815,False
CRI,peer_older,clean,1,36,0.1597783949573977,0.09424228171023592,-0.024933083015542562,0.34448987293033795,0.08999950448449232,False,,ecological — REDATAM pre-tabulated cells,1.5134852381587804,0.18476554699797815,False
CRI,peer_older,clean,2,33,0.048799671639160005,0.04697412669985081,-0.04326792489776893,0.14086726817608894,0.2988685608125654,False,,ecological — REDATAM pre-tabulated cells,1.5134852381587804,0.18476554699797815,False
CRI,pop2039,robustness,1,48,0.2856775183089296,0.12232264387265586,0.04592954182480502,0.5254254947930542,0.01952030911441639,False,,ecological — REDATAM pre-tabulated cells,1.5134852381587804,0.18476554699797815,False
CRI,pop2039,robustness,2,44,0.07891070513253799,0.06910009898711264,-0.05652300021035546,0.21434441047543146,0.25346369206497377,False,,ecological — REDATAM pre-tabulated cells,1.5134852381587804,0.18476554699797815,False
CRI,own_lag,comparator,1,48,0.35648480712521124,0.09537313584369181,0.1695568957789292,0.5434127184714933,0.0001856444873104758,False,MECHANICAL own-lag — comparator only,ecological — REDATAM pre-tabulated cells,1.5134852381587804,0.18476554699797815,False
CRI,own_lag,comparator,2,36,-0.009446123950921079,0.08249640755564465,-0.17113611161392256,0.15224386371208043,0.9088387052150481,False,MECHANICAL own-lag — comparator only,ecological — REDATAM pre-tabulated cells,1.5134852381587804,0.18476554699797815,False
COL,peer_younger,primary,1,42,1.3295513573935689,0.1251709214643729,1.0842208594117064,1.5748818553754313,2.357472056535601e-26,False,,ecological — cells from DANE microdata,7.196767940452494,2.6023751190289875e-06,True
COL,peer_younger,primary,2,39,0.04569936528835634,0.05894487602009663,-0.06983046878421173,0.16122919936092442,0.438168393635352,False,,ecological — cells from DANE microdata,7.196767940452494,2.6023751190289875e-06,True
COL,peer_older,clean,1,42,0.6074489675610373,0.15165512586704064,0.3102103827907489,0.9046875523313256,6.189617045753591e-05,False,,ecological — cells from DANE microdata,7.196767940452494,2.6023751190289875e-06,True
COL,peer_older,clean,2,39,0.03719157888503276,0.023534253586064913,-0.008934710546687083,0.0833178683167526,0.11403430941781045,False,,ecological — cells from DANE microdata,7.196767940452494,2.6023751190289875e-06,True
COL,pop2039,robustness,1,56,0.9681426466214844,0.34276372004265576,0.2963381001309092,1.6399471931120595,0.004735163779926269,False,,ecological — cells from DANE microdata,7.196767940452494,2.6023751190289875e-06,True
COL,pop2039,robustness,2,52,0.020713763683920777,0.02796250137962293,-0.03409173193779174,0.0755192593056333,0.4588333083794235,False,,ecological — cells from DANE microdata,7.196767940452494,2.6023751190289875e-06,True
COL,own_lag,comparator,1,56,0.9773201297500753,0.07648054032543779,0.827421025194054,1.1272192343060967,2.1570725466838967e-37,False,MECHANICAL own-lag — comparator only,ecological — cells from DANE microdata,7.196767940452494,2.6023751190289875e-06,True
COL,own_lag,comparator,2,40,0.003187703968969287,0.03387172731684383,-0.06319966166620614,0.06957506960414472,0.9250209392904262,False,MECHANICAL own-lag — comparator only,ecological — cells from DANE microdata,7.196767940452494,2.6023751190289875e-06,True
