reference_spec,role,lag,COL,CRI
own_lag,comparator,1,0.9773201297500753,0.35648480712521124
own_lag,comparator,2,0.003187703968969287,-0.009446123950921079
peer_older,clean,1,0.6074489675610373,0.1597783949573977
peer_older,clean,2,0.03719157888503276,0.048799671639160005
peer_younger,primary,1,1.3295513573935689,0.17224224772999402
peer_younger,primary,2,0.04569936528835634,0.11532635088580358
pop2039,robustness,1,0.9681426466214844,0.2856775183089296
pop2039,robustness,2,0.020713763683920777,0.07891070513253799
