country,reference_spec,role,lag,n,beta,se,ci_lo,ci_hi,pvalue,amplifying,note,estimator_level
COL,peer_younger,primary,1,42,1.3295513573935689,0.1251709214643729,1.0842208594117064,1.5748818553754313,2.357472056535601e-26,False,,ecological — cells from DANE microdata
COL,peer_younger,primary,2,39,0.04569936528835634,0.05894487602009663,-0.06983046878421173,0.16122919936092442,0.438168393635352,False,,ecological — cells from DANE microdata
COL,peer_older,clean,1,42,0.6074489675610373,0.15165512586704064,0.3102103827907489,0.9046875523313256,6.189617045753591e-05,False,,ecological — cells from DANE microdata
COL,peer_older,clean,2,39,0.03719157888503276,0.023534253586064913,-0.008934710546687083,0.0833178683167526,0.11403430941781045,False,,ecological — cells from DANE microdata
COL,pop2039,robustness,1,56,0.9681426466214844,0.34276372004265576,0.2963381001309092,1.6399471931120595,0.004735163779926269,False,,ecological — cells from DANE microdata
COL,pop2039,robustness,2,52,0.020713763683920777,0.02796250137962293,-0.03409173193779174,0.0755192593056333,0.4588333083794235,False,,ecological — cells from DANE microdata
COL,own_lag,comparator,1,56,0.9773201297500753,0.07648054032543779,0.827421025194054,1.1272192343060967,2.1570725466838967e-37,False,MECHANICAL own-lag — comparator only,ecological — cells from DANE microdata
COL,own_lag,comparator,2,40,0.003187703968969287,0.03387172731684383,-0.06319966166620614,0.06957506960414472,0.9250209392904262,False,MECHANICAL own-lag — comparator only,ecological — cells from DANE microdata
