period,effect,second_diff
2005,0.06429417558312264,
2008,0.05073970024085844,-0.009021230384807455
2010,0.028163994513786796,0.009960262005291723
2013,0.015548550792006871,0.00180908447795914
2015,0.004742191548186085,0.008727284572116169
2017,0.0026631168764814674,-0.01578050774172391
2019,-0.01519646553694706,-0.03990866866864262
2023,-0.07296471661901821,0.052742420302612336
2024,-0.07799054739847702,
