cohort_start,effect,second_diff
1975,0.0929408438977194,
1980,0.0518270561572959,-0.004997514325697727
1985,0.005715754091174689,0.0024788458259604254
1990,-0.0379167021489861,0.02570881937832021
1995,-0.055840339010826676,0.017037362886290028
2000,-0.056726612986377226,
