INST,mdp_2026,mdp_2027,dif_nominal,var_real_pct
19,1333311.709,1444892.596,111580.887,4.201
GYN,395156.019,409866.990,14710.971,-0.267
GYR,1010525.178,1136228.016,125702.838,8.115
TVV,67841.700,66154.772,-1686.928,-6.237
TYY,92333.406,94472.932,2139.526,-1.618
