year,age_band,pct_partnered,status_definition,source,methodology_flag
2024,persons 25-34 (CABA only),45.9,unidas+casadas,"Direccion Estadistica CABA, indicator c13",CABA CITY ONLY; not national; 34.6 unidas+11.3 casada
2024,persons 35-44 (CABA only),70.6,unidas+casadas,Direccion Estadistica CABA,CABA CITY ONLY
