year,age_band,pct_partnered,status_definition,source,methodology_flag
2015,women/persons 15-29 married,4.9,married only,CASEN 2015 (via ICSO-UDP),married-only; dated; not 20-39 cut
2011,persons cohabiting,15.0,cohabitation only,CASEN/Censo (via ICSO-UDP),cohabitation only; from 6.3% in 1990
