year,value,source,methodology_flag,provisional_flag
2014,2.21,"INEGI ENADID survey period TGF (2014, 2018, 2023 boletines)",direct survey period TGF; survey years only; 2023 = lowest ever; NOT comparable to CONAPO modeled,definitive
2018,2.07,"INEGI ENADID survey period TGF (2014, 2018, 2023 boletines)",direct survey period TGF; survey years only; 2023 = lowest ever; NOT comparable to CONAPO modeled,definitive
2023,1.6,"INEGI ENADID survey period TGF (2014, 2018, 2023 boletines)",direct survey period TGF; survey years only; 2023 = lowest ever; NOT comparable to CONAPO modeled,definitive
