year,age_band,pct_partnered,status_definition,source,methodology_flag
2018,women 15-49,57.5,casada+union libre,INEGI ENADID 2018 (via ENADID2023 boletin),VERIFIED; 34.2 casada+23.3 union
2023,women 15-49,53.3,casada+union libre,INEGI ENADID 2023 boletin,VERIFIED; 28.5 casada+24.8 union; soltera now modal 35.3
