birth_year,kappa,phi
1961,0.9925858957914706,1.9128360693445776
1962,0.9913767388619814,1.8618349538328478
1963,0.9899734861808798,1.8121936588646173
1964,0.9883460697436577,1.763875928136627
1965,0.9864601432991826,1.7168464720316512
1966,0.9842766062417527,1.6710709418441667
1967,0.9817511223750286,1.6265159046932354
1968,0.9788336541335196,1.5831488191042706
1969,0.9754680413992287,1.5409380112418585
1970,0.9715916646430811,1.4998526517762722
1971,0.967135244790643,1.459862733366784
1972,0.9620228467185079,1.4209390487453308
1973,0.9561721689403084,1.3830531693845243
1974,0.9494952174811471,1.3461774247344283
1975,0.9418994748965084,1.3102848820129351
1976,0.9332896824594072,1.2753493265349833
1977,0.923570350052475,1.2413452425662486
1978,0.9126490884577867,1.208247794687325
1979,0.9004408161460169,1.1760328096547834
1980,0.886872821524844,1.1446767587458633
1981,0.8718905586382437,1.1141567405738964
1982,0.8554639214067847,1.0844504643619197
1983,0.8375935886418406,1.055536233662254
1984,0.8183168795652223,1.0273929305101597
1985,0.7977124382314802,1.0
1986,0.7759030129307609,0.9733374352726395
1987,0.7530556502152645,0.9473857629031196
1988,0.7293788066674678,0.9221260286779354
1989,0.7051161934138853,0.897539783751526
1990,0.6805375732532244,0.8736090711718698
1991,0.6559271599682722,0.8503164127653405
1992,0.6315706366309917,0.8276447963712475
1993,0.6077420315108738,0.8055776634167361
1994,0.5846917134683522,0.7840988968229715
1995,0.5626365877718947,0.763192809233777
1996,0.5417532317567575,0.7428441315581253
1997,0.5221742860859515,0.723038001818117
1998,0.503988000168714,0.7037599542942999
1999,0.487240493518303,0.6849959089604039
2000,0.47194008168789947,0.66673216119977
2001,0.45806293446000396,0.6489553717959681
2002,0.4455593657741648,0.6316525571902898
2003,0.4343601643181424,0.6148110799990009
2004,0.4243825222958591,0.5984186397834291
2005,0.4155352748007892,0.5824632640661443
2006,0.4077233007396046,0.5669332995866712
2007,0.4008510462480611,0.5518174037903454
2008,0.3948252095825289,0.5371045365441013
2009,0.38955667493516066,0.5227839520731352
