cohort_start,effect,kappa_at_bin_mid
1975,0.0929408438977194,0.923570350052475
1980,0.0518270561572959,0.8554639214067847
1985,0.005715754091174689,0.7530556502152645
1990,-0.0379167021489861,0.6315706366309917
1995,-0.055840339010826676,0.5221742860859515
2000,-0.056726612986377226,0.4455593657741648
