year,ambiguous,curative,preventive,tot,prev_share_base,prev_share_amb_to_prev,prev_share_amb_to_cur,cur_share_amb_to_cur,amb_share
2018,14748185230.7379,23106954157.2498,980825768.284831,38835965156.2725,0.0252556042920029,0.405011461302186,0.0252556042920029,0.974744395707997,0.379755857010183
2020,23830622498.2015,31879504443.1022,1182060890.0156,56892187831.3193,0.0207772092280985,0.439650580188227,0.0207772092280985,0.979222790771902,0.418873370960128
2022,22240251215.1892,31614445527.8895,1229268520.96238,55083965264.0411,0.0223162678116938,0.426068087575977,0.0223162678116938,0.977683732188306,0.403751819764284
2024,27672419765.38,33308966396.14,1210919386.66,62192305548.18,0.019470565948418,0.46441981684799,0.019470565948418,0.980529434051582,0.444949250899572
