PP_K,desc_pp,MDP,pct_del_anexo,es_pension
E062,Servicios de desarrollo cultural,0.5,0.0,False
P061,Política para promover la protección de los derechos humanos y prevenir la discriminación,0.3,0.0,False
P036,Articulación de la Política Ambiental y de Recursos Naturales,0.3,0.0,False
F030,"Coordinación, operación y recarga de la Coordinación Nuclear",0.3,0.0,False
E010,Realizar investigación académica en el marco de las ciencias penales,0.2,0.0,False
P031,Implementación de la política laboral,0.2,0.0,False
F032,Operación de infraestructura aplicable a telecomunicaciones,0.2,0.0,False
P006,Articulación de la política en materia de comunicación social del Gobierno de México,0.1,0.0,False
R037,Administración de los contratos de producción independiente de energía,0.1,0.0,False
P047,Articulación de la política en materia de seguridad nacional y pública,0.0,0.0,False
E052,Resolución de asuntos relativos a conflictos y controversias por uso y usufructo de la tierra,0.0,0.0,False
E073,Servicios de atención a personas con discapacidad,0.0,0.0,False
