id_ramo,id_modalidad,id_pp,desc_pp,anexos,mdp_sumado
16,Q,11,Investigación científica y tecnológica,3,284.1
4,E,2,Servicios migratorios,3,237.2
47,E,57,Servicios de preservación y divulgación del patrimonio documental que resguarda el Archivo General de la Nación y de la memoria histórica de México,3,228.7
20,U,11,Programa para el Bienestar de las Personas en Emergencia Social o Natural,3,161.1
18,P,39,Articulación de la política nuclear y eléctrica,3,155.9
49,E,9,Investigar y perseguir los delitos cometidos en materia de derechos humanos,3,82.0
5,P,14,Articulación de la política de Cooperación internacional para el desarrollo,3,79.9
4,P,10,Política para la protección y defensa de los derechos humanos,3,45.4
4,E,1,Servicios de atención a refugiados en el país,3,29.5
36,P,47,Articulación de la política en materia de seguridad nacional y pública,3,26.2
55,P,60,"Definición, articulación y coordinación de las Políticas de Transformación Digital y Telecomunicaciones",3,26.0
4,P,7,Planeación demográfica del país,3,18.2
5,E,5,Atención y servicios integrales de protección y asistencia consular,3,5.9
21,F,25,Fomento y promoción de destinos turísticos,3,5.1
33,I,13,FONE Servicios Personales,2,629161.6
7,A,1,"Defensa de la Integridad, la Independencia, la Soberanía del Territorio Nacional",2,89346.9
9,K,19,Infraestructura ferroviaria para transporte de carga y pasajeros,2,54778.2
18,P,38,Articulación de la política de hidrocarburos,2,27737.8
33,I,6,FAM Asistencia Social,2,25254.6
33,I,15,FONE Gasto de Operación,2,24318.8
33,I,5,FORTAMUN,2,22574.9
33,I,7,FAM Infraestructura Educativa Básica,2,19126.7
33,I,16,FONE Fondo de Compensación,2,17497.5
33,I,14,FONE Otros de Gasto Corriente,2,16061.5
38,S,191,Sistema Nacional de Investigadoras e Investigadores,2,14740.9
11,U,80,Apoyos a centros y organizaciones de educación,2,10673.7
20,P,41,Articulación de la Política de Bienestar,2,5335.0
8,P,21,Aplicación de la Política Agropecuaria,2,4614.1
8,B,6,"Adquisición, industrialización y comercialización de productos agroalimentarios",2,3139.2
8,M,1,Actividades de apoyo administrativo,2,2175.9
33,I,8,FAM Infraestructura Educativa Media Superior y Superior,2,1761.2
13,A,20,Sistema Educativo Naval,2,1620.0
7,A,17,Programa de Becas para los hijos del Personal de las Fuerzas Armadas en activo,2,1430.0
8,S,263,Sanidad e Inocuidad Agroalimentaria,2,900.8
11,U,300,La Normal es Nuestra,2,865.2
48,E,62,Servicios de desarrollo cultural,2,845.4
12,U,12,Fortalecimiento de los Servicios Estatales de Salud,2,687.9
33,I,10,FAETA Educación de Adultos,2,652.3
11,E,27,Servicios de atención al deporte,2,554.9
52,M,1,Actividades de apoyo administrativo,2,539.1
27,P,44,Política anticorrupción,2,430.7
50,E,71,Servicios por prestaciones sociales,2,344.7
25,U,1,Becas para la población atendida por el sector educativo,2,263.4
15,U,1,Regulación y registro de actos jurídicos agrarios,2,250.1
7,A,16,Programa de igualdad entre mujeres y hombres SDN,2,202.7
51,K,6,Infraestructura integral para el derecho a la salud,2,199.1
16,V,3,Conservación y Manejo de Áreas Naturales Protegidas,2,148.9
9,Q,5,"Investigación, estudios, proyectos y capacitación en materia de transporte",2,146.8
10,M,1,Actividades de apoyo administrativo,2,144.8
7,A,13,Fortalecimiento de las capacidades de auxilio a la población civil mediante el Plan DN-III-E,2,125.3
32,E,1,Impartición de Justicia Fiscal y Administrativa,2,99.9
15,P,34,"Política de ordenamiento agrario, territorial y urbano",2,94.5
8,O,1,Actividades de apoyo a la función pública y buen gobierno,2,69.2
48,P,56,Política de educación y cultura indígena,2,66.4
48,S,268,Programas de apoyos a la cultura,2,53.3
14,S,43,Programa de Apoyo al Empleo (PAE),2,51.8
15,U,3,Programa de modernización de los registros públicos de la propiedad y catastros,2,45.9
10,O,1,Actividades de apoyo a la función pública y buen gobierno,2,39.4
22,R,3,Capacitación y educación para el ejercicio democrático de la ciudadanía,2,32.2
4,E,4,Servicios de registro e Identificación de Población,2,31.2
48,E,25,"Servicios de producción y transmisión de materiales educativos, culturales y artísticos",2,28.6
21,P,43,Articulación de la política de turismo,2,21.2
15,S,213,Programa para Regularizar asentamientos Humanos,2,21.0
13,A,22,Administración y Operación de Capitanías de Puerto y Asuntos Marítimos,2,19.8
22,R,11,Tecnologías de información y comunicaciones,2,7.8
10,F,19,Promoción del comercio exterior y atracción de inversión extranjera directa,2,6.8
4,P,9,"Conducción a la política del Gobierno Federal para la democracia participativa, religiosa y fomento a la construcción de paz",2,6.7
4,P,6,Articulación de la política en materia de comunicación social del Gobierno de México,2,4.7
55,M,1,Actividades de apoyo administrativo,2,4.3
48,S,303,Programa Nacional de Becas Artísticas y Culturales,2,4.2
6,M,1,Actividades de apoyo administrativo,2,4.2
47,P,53,Política en materia de gestión documental,2,3.2
4,P,5,Planeación y conducción de la Política Interior,2,3.1
10,P,23,"Negociación, administración y defensa de Tratados y Acuerdos Internacionales de comercio e Inversión",2,3.1
31,E,52,Resolución de asuntos relativos a conflictos y controversias por uso y usufructo de la tierra,2,0.0
33,I,4,FAIS Municipal y de las Demarcaciones Territoriales del Distrito Federal,1,68246.4
7,K,19,Infraestructura ferroviaria para el transporte de carga y pasajeros,1,30000.0
7,A,15,Operación y desarrollo de los cuerpos de seguridad de las Fuerzas Armadas,1,19978.4
33,I,2,FASSA,1,16010.4
33,I,11,FASP,1,9951.1
7,A,2,Operación y desarrollo de la Fuerza Aérea Mexicana,1,8489.1
19,T,1,Seguro de Enfermedad y Maternidad,1,8317.0
38,Q,7,"Investigación en ciencia, humanidades, tecnología e innovación",1,6449.0
7,A,3,Programa de la Secretaría de la Defensa Nacional en Apoyo a la Seguridad Pública,1,5374.3
53,K,24,Infraestructura económica de electricidad,1,4808.5
13,A,15,Operación y desarrollo de los cuerpos de seguridad de las Fuerzas Armadas,1,4530.3
36,E,54,"Servicios de Policía Complementaria y de Protección, custodia, vigilancia y seguridad de personas, bienes e instalaciones",1,4529.4
7,E,17,"Servicios de dirección la infraestructura aeroportuaria, ferroviaria y de servicios auxiliares",1,3422.2
1,R,2,"Entregar a la Cámara de Diputados del H. Congreso de la Unión, el informe sobre la revisión de la Cuenta de la Hacienda Pública Federal",1,2822.6
7,A,11,Sistema educativo militar,1,2800.9
36,M,1,Actividades de apoyo administrativo,1,2763.5
3,R,1,Otras Actividades,1,1625.8
38,P,51,"Diseño y evaluación de políticas en ciencia, tecnología e innovación",1,1619.4
16,K,26,"Infraestructura en materia hidroagrícola, tecnificación y protección ante inundaciones",1,1525.6
7,K,3,Infraestructura en materia de seguridad nacional,1,1510.9
25,E,86,Servicios de educación normal en la Ciudad de México,1,1368.9
52,K,25,Infraestructura económica de hidrocarburos,1,1318.5
36,E,55,Servicios de administración del Sistema Federal Penitenciario,1,1223.3
11,M,1,Actividades de apoyo administrativo,1,1188.4
36,U,2,Fondo para el Fortalecimiento de las Instituciones de Seguridad Pública,1,1166.1
10,F,20,"Promoción, regulación e información geológica para el desarrollo de la actividad minera",1,990.5
50,Q,8,"Investigación, desarrollo tecnológico y formación en salud",1,889.1
27,O,1,Actividades de apoyo a la función pública y buen gobierno,1,846.3
38,F,27,"Programas nacionales estratégicos de ciencia, tecnología y vinculación con el sector social, público y privado",1,691.8
7,M,1,Actividades de apoyo administrativo,1,572.5
56,Q,8,"Investigación, desarrollo tecnológico y formación en salud",1,412.6
27,P,45,Política de Buen Gobierno,1,359.9
51,O,1,Actividades de apoyo a la función pública y buen gobierno,1,347.3
50,O,1,Actividades de apoyo a la función pública y buen gobierno,1,342.6
10,E,21,Servicios de protección y promoción de los derechos de propiedad industrial,1,274.0
5,P,15,Articulación de la política exterior,1,253.2
11,O,1,Actividades de apoyo a la función pública y buen gobierno,1,237.9
