RAMO_K,mdp_2025_proyecto,mdp_2026,nombre,dif_nominal,dif_real,var_real_pct
TOTAL,3572222.8,3793462.0,,221239.3,49772.6,1.3
19,1471024.0,1531226.2,19 Aportaciones a Seguridad Social,60202.2,-10407.0,-0.7
GYR,987097.5,1032733.4,GYR Instituto Mexicano del Seguro Social,45636.0,-1744.7,-0.2
20,579587.1,674502.9,20 Bienestar,94915.7,67095.6,11.0
GYN,442029.9,457005.5,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,14975.6,-6241.8,-1.3
TVV,64337.9,67841.7,TVV Comisión Federal de Electricidad,3503.8,415.6,0.6
33,18318.3,19993.7,33 Aportaciones Federales para Entidades Federativas y Municipios,1675.4,796.2,4.1
12,4984.2,5119.7,12 Salud,135.5,-103.7,-2.0
47,4843.9,5038.9,47 Entidades no Sectorizadas,195.0,-37.5,-0.7
