RAMO_K,mdp_2025,mdp_2026,dif_nominal,dif_real,var_real_pct,estado,nivel,NOMBRE_RAMO,NOMBRE_PP,NOMBRE_UR,PP_K,UR_K,F_K,FN_K,SF_K,NOMBRE_FN
49,20126.0,21059.4,933.5,-32.6,-0.2,continúa,ramo,49 Fiscalía General de la República,001 Actividades de apoyo a la función pública y buen gobierno,170 Órgano Interno de Control,,,,,,
03,85025.8,85960.2,934.4,-3146.8,-3.5,continúa,ramo,03 Poder Judicial,001 Otras Actividades,300 Tribunal de Disciplina Judicial,,,,,,
48,12081.5,13097.4,1015.9,436.0,3.4,continúa,ramo,48 Cultura,001 Actividades de apoyo a la función pública y buen gobierno,VZG Fondo Nacional para el Fomento de las Artesanías,,,,,,
06,25626.3,26792.1,1165.8,-64.3,-0.2,continúa,ramo,06 Hacienda y Crédito Público,001 Administración del Fondo de Pensiones,HKA Instituto para Devolver al Pueblo lo Robado,,,,,,
38,33295.9,34860.8,1564.9,-33.3,-0.1,continúa,ramo,"38 Ciencia, Humanidades, Tecnología e Innovación",001 Actividades de apoyo a la función pública y buen gobierno,"91W Instituto Potosino de Investigación Científica y Tecnológica, A.C.",,,,,,
08,73616.7,75195.5,1578.8,-1954.8,-2.5,continúa,ramo,08 Agricultura y Desarrollo Rural,001 Actividades de apoyo a la función pública y buen gobierno,"JAG Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias",,,,,,
23,165753.8,167652.2,1898.4,-6057.8,-3.5,continúa,ramo,23 Provisiones Salariales y Económicas,032 Provisiones Salariales y Económicas,"411 Unidad de Diseño Presupuestario, Control y Seguimiento del Gasto",,,,,,
54,0.0,2141.0,2141.0,2141.0,inf,aparece,ramo,54 Mujeres,001 Actividades de apoyo a la función pública y buen gobierno,400 Unidad de Administración y Finanzas,,,,,,
25,81668.0,85182.4,3514.4,-405.7,-0.5,continúa,ramo,"25 Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",003 Previsiones salariales y económicas del Fondo de Aportaciones para la Educación Tecnológica y de Adultos,700 Unidad de Administración y Finanzas,,,,,,
55,0.0,3852.7,3852.7,3852.7,inf,aparece,ramo,55 Agencia de Transformación Digital y Telecomunicaciones,001 Actividades de apoyo a la función pública y buen gobierno,J9E Servicio Postal Mexicano,,,,,,
09,140799.0,153539.3,12740.2,5981.9,4.1,continúa,ramo,"09 Infraestructura, Comunicaciones y Transportes",001 Actividades de apoyo a la función pública y buen gobierno,C00 Servicios a la Navegación en el Espacio Aéreo Mexicano,,,,,,
GYN,525615.4,539020.8,13405.4,-11824.2,-2.1,continúa,ramo,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,020 Pagos de funeral,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,,,,,,
TVV,583951.1,602567.5,18616.4,-9413.3,-1.5,continúa,ramo,TVV Comisión Federal de Electricidad,022 Pago de Pensiones y Jubilaciones,TVV Comisión Federal de Electricidad,,,,,,
07,151995.0,170753.1,18758.2,11462.4,7.2,continúa,ramo,07 Defensa Nacional,006 Fideicomiso de apoyo a deudos de militares fallecidos o a militares que hayan adquirido una incapacidad en 1/a. categoría en actos del servicio considerados de alto riesgo,120 Comandancia I Región Militar,,,,,,
30,45800.0,70855.7,25055.7,22857.3,47.6,continúa,ramo,30 Adeudos de Ejercicios Fiscales Anteriores,001 Adeudos de Ejercicios Fiscales Anteriores (ADEFAS),"411 Unidad de Diseño Presupuestario, Control y Seguimiento del Gasto",,,,,,
19,1480920.4,1541518.7,60598.3,-10485.9,-0.7,continúa,ramo,19 Aportaciones a Seguridad Social,005 Cuota Social Seguro de Salud ISSSTE,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,,,,,,
33,979951.8,1041892.9,61941.1,14903.5,1.5,continúa,ramo,33 Aportaciones Federales para Entidades Federativas y Municipios,016 FONE Fondo de Compensación,"411 Unidad de Diseño Presupuestario, Control y Seguimiento del Gasto",,,,,,
11,450887.9,513015.6,62127.7,40485.1,8.6,continúa,ramo,11 Educación Pública,001 Actividades de apoyo a la función pública y buen gobierno,O00 Coordinación Nacional de Becas para el Bienestar Benito Juárez,,,,,,
20,579883.9,674510.0,94626.2,66791.7,11.0,continúa,ramo,20 Bienestar,001 Actividades de apoyo a la función pública y buen gobierno,V3A Instituto Nacional de las Personas Adultas Mayores,,,,,,
TYY,612145.9,708200.9,96055.0,66672.0,10.4,continúa,ramo,TYY Petróleos Mexicanos,021 Aportaciones para pago de pensiones y jubilaciones,TYY Petróleos Mexicanos,,,,,,
28,1340210.9,1456045.9,115835.0,51504.9,3.7,continúa,ramo,28 Participaciones a Entidades Federativas y Municipios,004 Fondo de Compensación del Impuesto sobre Automóviles Nuevos,114 Unidad de Coordinación con Entidades Federativas,,,,,,
GYR,1469410.4,1590308.7,120898.3,50366.6,3.3,continúa,ramo,GYR Instituto Mexicano del Seguro Social,016 Pago de subsidios a los asegurados,GYR Instituto Mexicano del Seguro Social,,,,,,
18,138307.4,267439.1,129131.8,122493.0,84.5,continúa,ramo,18 Energía,001 Actividades de apoyo a la función pública y buen gobierno,T0Q Instituto Nacional de Investigaciones Nucleares,,,,,,
