age_period,male,female
1,0.98890000,0.99705300
2,0.98592300,0.99639700
3,0.98476500,0.99558800
4,0.98251900,0.99408000
5,0.97845100,0.99130700
6,0.97162300,0.98627400
7,0.96226300,0.97945900
8,0.94579100,0.96748800
9,0.92401300,0.95044300
10,0.89813100,0.92694200
11,0.85003100,0.88927600
12,0.78580500,0.83204600
13,0.69062000,0.73806400
14,0.56338500,0.62460100
15,0.41089500,0.48213500
16,0.25191300,0.32277700
17,0.11805600,0.17333100
