age_period,value
1,0.0200
2,0.0244
3,0.0298
4,0.0364
5,0.0445
6,0.0544
7,0.0664
8,0.0811
9,0.0991
10,0.1210
11,0.1478
12,0.1806
13,0.2205
14,0.2694
15,0.3290
16,0.4018
17,0.4908
