iter,K,L,r,w,taup,DIFF_over_Y
1,12.0,10.0,0.1634461887480857,1.0934658023375174,0.13335939359374668,-0.36044368175589453
2,11.534582502646355,12.659932408612095,0.26224458339332224,0.9902511011960885,0.13910048550599324,-0.2141971214734868
3,12.931828926792338,14.198076924496668,0.26237078738945196,0.9901361340990353,0.13953483149280263,-0.1265913058545842
4,13.813635002481956,15.255994935531733,0.26468471201490007,0.9880347861774262,0.13988457604568297,-0.0820020656340619
5,14.426070307256804,15.99060421224674,0.2661194061000456,0.9867381010015049,0.14030951138360778,-0.05473439847361646
6,14.861144740142134,16.500899161907743,0.26678934248143094,0.9861342254313967,0.14042849152716824,-0.036463642644288974
7,15.149980406015674,16.855426263700185,0.26758159908647516,0.9854214145175549,0.1405795980855402,-0.025027641132230632
8,15.358868381579171,17.101670595777797,0.2679012605422876,0.985134212969763,0.1406450507692747,-0.01703387104175083
9,15.499321975249469,17.272930305667614,0.26824142330738043,0.9848288471317119,0.1406302252169809,-0.011585371289704806
10,15.592095122258677,17.39194148237553,0.26859658133879183,0.9845103003800385,0.14066046946414465,-0.00804895980946088
11,15.657896644796931,17.474609696249388,0.26880641481213774,0.9843222319314595,0.1406694229117335,-0.00553927850554854
12,15.702933250168451,17.5319727319911,0.2689666468771146,0.9841786871538752,0.14069965932576622,-0.0039296423460473484
13,15.738198264432189,17.571790332781454,0.26897666491821337,0.9841697143679202,0.14070058695271162,-0.0026746528721509812
14,15.760540436200223,17.59954522158441,0.26903982642588553,0.9841131481922788,0.14070321948082912,-0.0018477576498889994
15,15.775541886413365,17.618848223644793,0.2690971169715418,0.984061847742318,0.1407053891759565,-0.0012816381462212286
16,15.78598810482077,17.63224082108846,0.26913584553538816,0.9840271727072026,0.14073333106441813,-0.001002131561351984
17,15.7980105084173,17.641534987365848,0.2690431349041592,0.9841101854346094,0.14073289345231174,-0.0006545185796941186
18,15.80440425120635,17.64812993463358,0.26903091999921913,0.9841211240618776,0.14073275418399042,-0.0004479865841355534
19,15.808280125126737,17.652771386643792,0.26903794417449056,0.9841148337682082,0.14073601778093786,-0.00031554393006369305
20,15.81103953114009,17.656007245665027,0.26904140583273595,0.9841117338230136,0.14073616323666566,-0.00021519346491714048
21,15.812827304486966,17.658255070971503,0.2690470392161233,0.9841066891369729,0.14073639382924502,-0.00014931859490977182
22,15.814055206991846,17.659817162339017,0.26905131560569995,0.9841028596847352,0.14073656262204837,-0.00010358685445832295
23,15.814904189181881,17.660901595464292,0.2690543702801449,0.9841001242881352,0.1407366822727384,-7.187620325378018e-5
