iter,K,L,r,w,taup,DIFF_over_Y
1,12.0,10.0,0.1634461887480857,1.0934658023375174,0.07762956406813784,-0.347698617046889
2,10.78731778077594,12.659419436906184,0.28900457811123836,0.9666735655985758,0.0811972586837217,-0.29513274027437
3,13.678502698290117,14.319030838886697,0.24400403339077603,1.0072677601328572,0.08065961929998232,-0.15368541663720492
4,14.671468639853778,15.55951697561276,0.2489608125336812,1.002563406949384,0.08094048410287417,-0.1017728695927019
5,15.499954978758353,16.419356922194385,0.24852310138923195,1.0029763721757912,0.08093982921929258,-0.06702215440419437
6,16.063118425096416,17.021317924051456,0.24864431344464988,1.0028619655174662,0.08105486421332872,-0.045549094694524075
7,16.4699695490639,17.44246086053776,0.24842557388435904,1.0030684503669611,0.08110997722504117,-0.03105750602679885
8,16.75242077517721,17.737388622328922,0.24833501217000664,1.0031539730072534,0.0811289564915506,-0.02134674196354212
9,16.949075837145152,17.94386806211403,0.24829797841520307,1.0031889519493271,0.08121436081363077,-0.014888952926235533
10,17.090788715769826,18.088426415378954,0.24818234076876666,1.0032981952667857,0.08128620505922668,-0.010343210480496955
11,17.189965767004793,18.18960266126613,0.24810270305207782,1.0033734485336672,0.08132133205930231,-0.0071782442246483905
12,17.258950067920814,18.2603815644371,0.24805630226888042,1.0034173019541108,0.0813304838867845,-0.005005825792124326
13,17.307937079850756,18.309916352581457,0.2480084102304454,1.0034625703450757,0.0813448737401341,-0.003502060292899523
14,17.34202201286027,18.344662996839457,0.24798109019380288,1.0034883962619499,0.08134158693257094,-0.002423954856295878
15,17.364986414238913,18.368998990441344,0.24798200325686426,1.0034875331040496,0.08134305528158407,-0.0017109447385114955
16,17.38184245380414,18.38604239723363,0.2479656419662304,1.0035030004505268,0.08134531188370513,-0.0011935680261914415
17,17.393275713603384,18.398002583917904,0.24796286694454917,1.003505623916946,0.08134474148820983,-0.0008311397186037063
18,17.40113678459571,18.40637431227912,0.24796404119009163,1.0035045137994207,0.08134418715353847,-0.0005814528702183925
19,17.40664352529525,18.412234052644642,0.2479647651709207,1.0035038293584067,0.08134431431738982,-0.0004081936309679182
20,17.410554332601578,18.416336170714175,0.24796404685120466,1.0035045084474814,0.08134398727704052,-0.0002847956759894062
21,17.413250229999957,18.419208842837318,0.2479644832869804,1.0035040958472563,0.08134378249549983,-0.00019925335922193853
22,17.415131386820082,18.42121987461699,0.24796492308398133,1.0035036800698531,0.08134364178641185,-0.0001394203743778529
23,17.416446803030947,18.42262735894658,0.24796525652624513,1.0035033648389218,0.08134354391108146,-9.75610101360356e-5
