iter,K,L,r,w,taup,DIFF_over_Y
1,12.0,10.0,0.1634461887480857,1.0934658023375174,0.12938260678022975,-0.347698617046889
2,10.78731778077594,12.659419436906184,0.28900457811123836,0.9666735655985758,0.1362921432977952,-0.2288255028071917
3,12.537502666171232,14.15866902324123,0.2735022398470889,0.9801394187201445,0.13652379954685936,-0.1262872395084596
4,13.33029318687821,15.215527288765129,0.2777703655086634,0.9763801162380744,0.13685094176613824,-0.08260495741874159
5,13.916037148064,15.946449017266872,0.2793438396568707,0.9750042960536329,0.137145035362487,-0.05484806149450646
6,14.322719938622399,16.454084116865335,0.2803632296576366,0.9741158275726948,0.13743650334301644,-0.03695709672634381
7,14.603321591533351,16.806626526474822,0.28108783867331366,0.9734856467827824,0.13760432653132731,-0.02507631587282142
8,14.797766365319877,17.05110134646459,0.28157779837897023,0.9730601779295085,0.13780761571615663,-0.017304435679097663
9,14.93671823364139,17.220770091393035,0.2818019322984052,0.9728657177155219,0.1379168152481149,-0.01176744262593239
10,15.028587236267516,17.33847747915061,0.2820766620984808,0.9726275073383969,0.13795342939626926,-0.008063156126078554
11,15.091873819393378,17.420005848279388,0.2822741928134156,0.972456334178523,0.13796810571345494,-0.005563212126637577
12,15.135777136532958,17.476586304195084,0.2824107517626371,0.9723380459141475,0.13799970505936862,-0.003896279210750424
13,15.167642877485818,17.515888702919945,0.28246864171768704,0.972287913313973,0.13804554474484682,-0.002708635275566641
14,15.189455164997852,17.543190133782616,0.28251731337968355,0.9722457692950631,0.13805544126796082,-0.0018510871053108594
15,15.204332428455995,17.56206238475377,0.2825562084997537,0.9722120942760246,0.13806596175125735,-0.0012862344708692525
16,15.214652793440756,17.57516798516255,0.28258346457962724,0.972188498156124,0.13806819497196288,-0.0008827564932994953
17,15.221564879113721,17.584256790617324,0.28260885596942287,0.9721665177660119,0.13806875238805907,-0.0006120589256213358
18,15.226380296810122,17.590563919503712,0.2826259627760076,0.9721517098124713,0.13807487942650243,-0.0004423310339976634
19,15.230350362122525,17.594944923359815,0.28262124087818574,0.972155797107917,0.1380747817404051,-0.00029751557742630966
20,15.232746048576498,17.59800091052368,0.2826278659404773,0.9721500624384636,0.13807492022938067,-0.00020632757770338463
21,15.234374873918087,17.600127926956134,0.28263350057349235,0.9721451851608593,0.13807504152893627,-0.00014319339685200418
22,15.235499183828564,17.601605771607073,0.28263761097190043,0.9721416272871786,0.13807513122264797,-9.941275047632066e-5
