metric,value
K,17.416446803030947
L,18.42262735894658
K_over_L,0.9453834387293839)
Y,28.886200849806986
C,13.782930094538834
M,1.180430685652822
G,5.488378161463327
deltaK,6.080358606641245
Lambda_void,1.4685076444580614
r_5yr,0.24796525652624513
w,1.0035033648389218
taup,0.08134354391108146
pen,0.7536809322900686
B_debt,8.67291267046582
A_dom,26.092427343039745
W1_theta_L,3.4307575671032526
W1_theta_H,4.13947834701252
K_over_Y_5yr,0.6029331061425242
C_over_Y,0.47714582357862856
M_over_Y,0.04086486456943366
