metric,value
K,15.814904189181881
L,17.660901595464292
K_over_L,0.8954754718322816)
Y,27.15639914865146
C,13.053579984266914
M,1.436801535589279
G,5.159715838243778
deltaK,5.521234605853368
Lambda_void,1.1803000285460996
r_5yr,0.2690543702801449
w,0.9841001242881352
taup,0.1407366822727384
pen,1.1810647685860536
B_debt,5.897273567216915
A_dom,21.714139444141008
W1_theta_L,3.6362720158438027
W1_theta_H,4.28976232371846
K_over_Y_5yr,0.5823638142381341
C_over_Y,0.48068154812473113
M_over_Y,0.052908396570707644
