NSEF,"I(motive_class == ""preventive"")FALSE","I(motive_class == ""preventive"")TRUE","I(motive_class == ""ambiguous"")FALSE","I(motive_class == ""ambiguous"")TRUE","se.I(motive_class == ""preventive"")FALSE","se.I(motive_class == ""preventive"")TRUE","se.I(motive_class == ""ambiguous"")FALSE","se.I(motive_class == ""ambiguous"")TRUE"
1,0.888379486611744,0.111620513388255,0.779337126310353,0.220662873689647,0.0114583713104283,0.0114583713104283,0.0104157975257468,0.0104157975257468
2,0.852091719086323,0.147908280913677,0.734651416250278,0.265348583749722,0.0114879517485141,0.0114879517485141,0.0144990318620915,0.0144990318620915
3,0.841169602384815,0.158830397615185,0.761964035858194,0.238035964141806,0.0166834066547082,0.0166834066547082,0.0164679368816026,0.0164679368816026
