ESTRATO,I(P8_1_1 == 1)FALSE,I(P8_1_1 == 1)TRUE,I(P8_1_2 == 1)FALSE,I(P8_1_2 == 1)TRUE,I(P8_1_3 == 1)FALSE,I(P8_1_3 == 1)TRUE,se.I(P8_1_1 == 1)FALSE,se.I(P8_1_1 == 1)TRUE,se.I(P8_1_2 == 1)FALSE,se.I(P8_1_2 == 1)TRUE,se.I(P8_1_3 == 1)FALSE,se.I(P8_1_3 == 1)TRUE
1,0.738793030612756,0.261206969387244,0.744813447092188,0.255186552907812,0.743716582837925,0.256283417162075,0.0140635061672194,0.0140635061672194,0.0140440387246534,0.0140440387246534,0.0148857448322194,0.0148857448322194
2,0.791626574918087,0.208373425081913,0.79472140054914,0.20527859945086,0.795258718447352,0.204741281552649,0.0085049481864337,0.0085049481864337,0.00796834562430419,0.00796834562430419,0.00818078275107693,0.00818078275107693
3,0.832068555241413,0.167931444758587,0.829079826050598,0.170920173949402,0.853223350726085,0.146776649273916,0.0131145201242267,0.0131145201242267,0.0152573355472655,0.0152573355472655,0.0128588232413312,0.0128588232413312
4,0.849307792308588,0.150692207691412,0.852413510419496,0.147586489580504,0.869211795180256,0.130788204819745,0.0260325280647242,0.0260325280647242,0.0262414957908826,0.0262414957908826,0.0263692210803347,0.0263692210803347
