sample,n,deaths,pseudo_r2,published,coef_frailty,coef_frailty2
full,16702,1525,0.166897485224338,0.142,3.75595893667952,-2.47322523950608
men,6987,775,0.136760550577628,0.118,3.89443230023644,-2.33125907527632
women,9715,750,0.192104543397955,0.159,3.53020513026856,-2.42070229372512
