wtercile,attritedFALSE,attritedTRUE,died21FALSE,died21TRUE,se.attritedFALSE,se.attritedTRUE,se.died21FALSE,se.died21TRUE
1,0.95040697276785,0.04959302723215,0.949092825852822,0.0509071741471776,0.0133217381883541,0.0133217381883541,0.00603785182408128,0.00603785182408129
2,0.946858637567842,0.053141362432158,0.932685880338361,0.0673141196616391,0.00921127866794639,0.00921127866794639,0.00808998962500591,0.00808998962500591
3,0.923402778989018,0.076597221010982,0.933733367848643,0.0662666321513567,0.0131596812228201,0.0131596812228201,0.00667888972745203,0.00667888972745203
