decile,share_uncond,share_uncond_se,share_condpos,share_condpos_se,mean_salud,mean_salud_se,year
1,0.0243006706909206,0.000905315800504822,0.0542195913797216,0.00177704659264056,354.583730866904,16.9875242356664,2018
2,0.0228248793515138,0.000862381283867192,0.0467522126495794,0.00161809213121302,487.900394587046,25.8038334177643,2018
3,0.0208850927966824,0.000922296918165031,0.0427387804517042,0.00173329721236963,513.563298932375,28.1665548755093,2018
4,0.019572055511462,0.000810757611521536,0.038809793561263,0.00150810449405334,609.771723817195,34.9259614358626,2018
5,0.02093051557752,0.0010096957117865,0.0393163434534451,0.00177920109135679,788.379131619607,71.07919200228,2018
6,0.0198902530929629,0.000935142945061257,0.0371008485116977,0.00164872404392551,781.230354861996,41.1146011376869,2018
7,0.0209272724323731,0.000874762474409548,0.0374988097695006,0.00150059485801133,1015.4069060751,58.925757063495,2018
8,0.021701470641916,0.00129021108501091,0.0379892567065766,0.00217486756270329,1244.68990609253,98.2716887389559,2018
9,0.0241053663540764,0.00102102533696807,0.0402016942210332,0.00159134999572504,1889.73049194639,162.067455341158,2018
10,0.0275957424500238,0.00102765173753081,0.0422912389233419,0.00151193682064198,3653.16123787044,203.083566847957,2018
1,0.0328366824540157,0.00114509874876097,0.0563473126511498,0.00180781459486212,624.851708237364,63.4049746077218,2020
2,0.0331949215827098,0.00104245385007427,0.0534673499207042,0.00158965041309135,682.815270544198,43.5987083657583,2020
3,0.0314167802261628,0.000941044599517419,0.0489024710932976,0.00138014942300226,799.475812303868,45.7411649860017,2020
4,0.0324887965414505,0.00107995988725788,0.0495245244359539,0.00158685321118586,977.646100342399,68.1294980918069,2020
5,0.0340381218750456,0.00116684556544053,0.0503736546869204,0.00164539498562407,1140.35753952246,52.971396713513,2020
6,0.0327787677049689,0.00107338932535742,0.0483199364210022,0.00152290859267487,1278.35341051612,74.7784128224483,2020
7,0.0340684395433437,0.00117392712909474,0.0482000389742851,0.00158996924635257,1493.20075542324,67.3714619825831,2020
8,0.0350852380791359,0.00107786499343425,0.0490208437339049,0.001439717210778,1788.64466470942,76.5260593837125,2020
9,0.0380823594879782,0.00120351633540615,0.0517002373927303,0.00156201148783292,2450.57273038971,126.179314744477,2020
10,0.0454822185507483,0.00133641259716418,0.0580902809071471,0.0016380888836777,4710.7446967846,209.098369876863,2020
1,0.0315348333681898,0.00112260207596787,0.054804081379724,0.00180439217405046,613.327865289863,52.8228529864381,2022
2,0.028481271000536,0.00089007356979475,0.0478426503530898,0.00147692593614124,656.871909281493,42.8122488429648,2022
3,0.0255110880373085,0.000790945275716783,0.0407030791675558,0.00118025638338186,711.930591664777,32.972755062794,2022
4,0.0259766692750323,0.000877812253170095,0.0407900467203125,0.00128813366009953,799.068893451161,36.1530091677819,2022
5,0.0260058651695093,0.000854716644673118,0.0402187646930189,0.00124986597018115,945.271552433221,41.2472930089912,2022
6,0.0276468715034189,0.00115760506649082,0.0426234520390945,0.00169527861920489,1169.51824559854,68.4870382445641,2022
7,0.0257116801331343,0.00086979719266842,0.0389318409741841,0.00125804446002607,1260.94392252876,63.5543433155984,2022
8,0.0294134215764243,0.0010170984864406,0.0434826661009306,0.00143092613380802,1728.9141554785,83.3849318681027,2022
9,0.0284511960658291,0.000916523909978888,0.0418286458444493,0.00129208893219675,2041.80585959465,90.1942782864674,2022
10,0.0370824844414303,0.00136377845259807,0.0515298404093811,0.00181512980549444,4780.6539197098,367.024996439284,2022
1,0.034766614313216,0.00112520244523477,0.0613270202785478,0.00182167352890486,650.384779215354,29.3899182614859,2024
2,0.0302212869146037,0.00105076693517431,0.0504628079509626,0.00164290470052782,773.827193661568,74.9460133178769,2024
3,0.0288113516750849,0.00104739534796885,0.0479742085565873,0.00164326808804382,858.689016139541,38.959079677767,2024
4,0.0266007208484439,0.000835071317948315,0.0426687446850842,0.0012900681762079,946.504737623987,49.0785625476035,2024
5,0.0292298162173006,0.00106381915363132,0.0450770605623908,0.00154997011767406,1166.13540048538,53.1736346177301,2024
6,0.0271506628300913,0.000915436043618639,0.042183610328368,0.00137506834217442,1312.70034939051,86.0478726750421,2024
7,0.0253933841055843,0.00081462393689395,0.0386724820742699,0.00119556457640928,1320.32476840746,54.2779109146712,2024
8,0.0286555780120084,0.000999748486054761,0.0435921757798925,0.00143410206202704,1746.85333072708,78.5031791618615,2024
9,0.0305893591610831,0.00105821364129512,0.0448723041397263,0.00147621210281048,2389.04870767671,126.044407369425,2024
10,0.0373531767000543,0.00112000142717179,0.0512047306692796,0.00142915659508559,4888.00143281098,204.90524688542,2024
