frail_terc,attritedFALSE,attritedTRUE,died21FALSE,died21TRUE,se.attritedFALSE,se.attritedTRUE,se.died21FALSE,se.died21TRUE
low,0.91520300882657,0.0847969911734302,0.971078856563874,0.0289211434361264,0.0123291815367049,0.0123291815367049,0.00366718822072733,0.00366718822072733
mid,0.948084253215153,0.0519157467848471,0.937460966038719,0.0625390339612812,0.00634014587787266,0.00634014587787266,0.00479082532668909,0.00479082532668909
high,0.951326655427561,0.0486733445724388,0.851181273376974,0.148818726623026,0.010630727212123,0.010630727212123,0.00981660756979847,0.00981660756979847
