clave,descripcion,year
061334,"Dispositivos y productos de asistencia: sillas para ducha y baño, pasamanos y barandales, barras de apoyo y seguridad, rampas, etcétera",2024
061335,Prótesis,2024
061336,Sillas de ruedas (con y sin motor) y camas especiales,2024
061337,Vehículos para personas con discapacidad: adaptación del vehículo,2024
061338,"Otros productos de apoyo: productos para la incontinencia, pañales para adulto, etcétera",2024
061401,Reparación y mantenimiento de productos médicos y auxiliares,2024
061402,Alquiler de productos médicos y auxiliares,2024
062110,Servicios de inmunización y vacunación,2024
062191,"Consulta médica con especialistas: pediatría, ginecología, cardiología, ortopedia, oftalmología, etcétera",2024
062192,Consulta médica con especialistas durante el embarazo,2024
062193,Consulta médica general,2024
062194,Consulta médica general durante el embarazo,2024
062195,Consultas homeopáticas,2024
062196,"Servicio de practicantes de medicina tradicional: curandero, yerbero, huesero, etcétera",2024
062197,"Otros servicios médicos: acupunturistas, optometristas, fonoaudiólogos independientes, logopedas, etcétera",2024
062198,Servicios de partera,2024
062210,Consultas dentales,2024
062291,Servicios de especialistas en ortodoncia,2024
062292,"Otros servicios dentales: colocación de dentaduras postizas, prótesis dentales, etcétera",2024
062311,Servicios curativos,2024
062312,Servicios de rehabilitación y terapia,2024
062313,Baños termales y terapia de gimnasia correctiva,2024
062321,Servicios de enfermeras independientes,2024
062322,Servicios de asistencia y cuidado personal,2024
062323,Centros de asistencia,2024
063101,Hospitalización general,2024
063102,Intervenciones quirúrgicas,2024
063103,Hospitalización durante el embarazo,2024
063104,Hospitalización durante el parto,2024
063105,Hospitalización general en hospitales especializados,2024
063106,Intervenciones quirúrgicas en hospitales especializados,2024
063200,Hospitalización general en hospitales de salud mental,2024
064101,Servicios de laboratorio de análisis clínicos,2024
064102,"Servicios de rayos X y estudios de gabinete: tomografía, resonancia magnética, ecografía, ultrasonido, etcétera",2024
064103,Servicios de laboratorio de análisis clínicos y ultrasonido durante el embarazo,2024
064201,Servicios paramédicos y de ambulancia para pacientes en general,2024
064202,Servicios paramédicos y de ambulancia durante el embarazo,2024
121201,Seguro de gastos médicos,2024
121202,Seguro médico voluntario (IMSS),2024
