forgoneFALSE,forgoneTRUE,cost_forgoneFALSE,cost_forgoneTRUE,se.forgoneFALSE,se.forgoneTRUE,se.cost_forgoneFALSE,se.cost_forgoneTRUE,grp,wave,base
0.825508075508725,0.174491924491275,0.963441349439941,0.0365586505600585,0.00879196903249432,0.00879196903249432,0.00398177123359402,0.00398177123359402,estrato1,2018,"need last month, all ages"
0.873430996670549,0.126569003329451,0.981023156579979,0.0189768434200206,0.00522096924244874,0.00522096924244874,0.00211684524405155,0.00211684524405155,estrato2,2018,"need last month, all ages"
0.896764857238576,0.103235142761424,0.989034637820812,0.0109653621791883,0.00847833245021294,0.00847833245021294,0.00321356743943791,0.00321356743943791,estrato3,2018,"need last month, all ages"
0.883972454277131,0.116027545722869,0.988440810625626,0.0115591893743741,0.0181990030963571,0.0181990030963571,0.00520186819669885,0.00520186819669885,estrato4,2018,"need last month, all ages"
0.900603216096324,0.0993967839036755,0.994652645754119,0.00534735424588086,0.00562687167973454,0.00562687167973454,0.00112563953914518,0.00112563953914518,IMSS,2018,"need last month, all ages"
0.923770235289223,0.0762297647107771,0.998390945154656,0.00160905484534441,0.00978041120322197,0.00978041120322197,0.00107697999159048,0.00107697999159048,ISSSTE,2018,"need last month, all ages"
0.822512453845569,0.177487546154431,0.956457228613835,0.0435427713861653,0.0119042401582897,0.0119042401582897,0.00655244536412349,0.00655244536412349,None,2018,"need last month, all ages"
0.872982139790486,0.127017860209514,0.99806800618238,0.00193199381761978,0.0357772923271851,0.0357772923271851,0.00194302485926463,0.00194302485926463,Other/DK,2018,"need last month, all ages"
0.957382187898425,0.0426178121015746,0.998968661940377,0.00103133805962271,0.0154885424852853,0.0154885424852853,0.00103909440588708,0.00103909440588708,Pemex/Armed,2018,"need last month, all ages"
0.915534178246043,0.0844658217539574,1,0,0.0490578214543456,0.0490578214543456,0,0,Private,2018,"need last month, all ages"
0.845806803902014,0.154193196097986,0.970442006653767,0.0295579933462331,0.00636295550980605,0.00636295550980605,0.00263294082743573,0.00263294082743573,SeguroPopular/Prospera,2018,"need last month, all ages"
0.890494020734361,0.109505979265639,0.981703759175618,0.018296240824382,0.00442785725576175,0.00442785725576175,0.0018476985671314,0.0018476985671314,female,2018,"need last month, all ages"
0.844455532877921,0.155544467122079,0.977738270762376,0.0222617292376237,0.00575218802295859,0.00575218802295859,0.00229117447374218,0.00229117447374218,male,2018,"need last month, all ages"
0.808014816580283,0.191985183419717,0.965145092981785,0.0348549070182146,0.0137141880264282,0.0137141880264282,0.011600536493392,0.011600536493392,nse_tercile1,2024,"need last 3 months, all ages"
0.864680308392255,0.135319691607745,0.98460842615347,0.0153915738465296,0.0124890685412038,0.0124890685412038,0.00571870889435481,0.00571870889435481,nse_tercile2,2024,"need last 3 months, all ages"
0.911539866298472,0.0884601337015279,0.999089210135324,0.000910789864675734,0.00969163290161094,0.00969163290161094,0.00046920325224297,0.00046920325224297,nse_tercile3,2024,"need last 3 months, all ages"
0.900450402329647,0.0995495976703532,0.996935377441482,0.0030646225585184,0.00816244863240103,0.00816244863240103,0.00118897350583458,0.00118897350583458,IMSS,2024,"need last 3 months, all ages"
0.895786206326644,0.104213793673356,0.995846189629763,0.00415381037023699,0.0183893878071303,0.0183893878071303,0.00234443216739112,0.00234443216739112,IMSS-Bienestar,2024,"need last 3 months, all ages"
0.948485732708979,0.0515142672910205,0.998935890978155,0.00106410902184525,0.00941532580250382,0.00941532580250382,0.00106200616990427,0.00106200616990427,ISSSTE,2024,"need last 3 months, all ages"
0.818543380944281,0.181456619055719,0.968884623425324,0.0311153765746763,0.0155520364894339,0.0155520364894339,0.00955684763871745,0.00955684763871745,None,2024,"need last 3 months, all ages"
0.884043744746515,0.115956255253485,0.987227127542435,0.0127728724575649,0.0513463367007347,0.0513463367007347,0.0122177196346991,0.0122177196346991,Other/DK,2024,"need last 3 months, all ages"
0.846238897052499,0.153761102947501,0.993069108074352,0.00693089192564782,0.0690701435840694,0.0690701435840694,0.00699571663990322,0.00699571663990322,Pemex/Armed,2024,"need last 3 months, all ages"
0.883187939854355,0.116812060145645,1,0,0.0613483656737604,0.0613483656737604,0,0,Private,2024,"need last 3 months, all ages"
0.874498377319581,0.125501622680419,0.979063442817781,0.0209365571822185,0.0103744501472448,0.0103744501472448,0.00703456920170786,0.00703456920170786,female,2024,"need last 3 months, all ages"
0.850010185229522,0.149989814770478,0.990015528962769,0.00998447103723074,0.00980271052228882,0.00980271052228882,0.00256428382188404,0.00256428382188404,male,2024,"need last 3 months, all ages"
