decline,wtercile,oop21_r,doop,se.oop21_r,se.doop
FALSE,1,16008.9110796216,6070.06972644976,2376.75192334196,2477.38936012028
TRUE,1,24042.7281056422,10819.1849773315,4478.5433634466,5032.78094163559
FALSE,2,19998.4460563142,6508.48277405995,3332.8826205972,2660.29568708767
TRUE,2,31944.2607893423,18346.7667633619,5166.52561309236,5715.16029838881
FALSE,3,16600.6090035506,588.319715293205,1056.61533730987,1472.96847589824
TRUE,3,42232.9359726192,21230.0731166808,7922.06636088333,8917.16870094125
